object,site,region,type,material,shape,symbol,condition,complete,first_sign,target_position,text
H-818,Harappa,Inter-Riverine,TAB:B,Faience,notched oval,NA,Fair,Y,740,0,+740-336-018+
H-820,Harappa,Inter-Riverine,TAB:B,Faience,crescent,NA,Poor,N,000,1,+000-740-861-000+
H-822,Harappa,Inter-Riverine,TAB:B,NA,fish,NA,Fair,Y,740,0,+740-642-240-001-692+
-:4290.1,Rajanpur,Inter-Riverine,TAB:B,NA,rectangular,Maze,Good,Y,400,1,+400-740-690-436-255+
H-836,Harappa,Inter-Riverine,TAB:B,NA,NA,NA,Poor,N,400,2,+400-000-740-000-000+
H-838,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,740,0,+740-615-495-002-817+
H-1149,Harappa,Inter-Riverine,TAB:B,NA,circular,NA,Fair,Y,400,1,+400-740-790+
H-842,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,400,1,+400-740-861+
H-844,Harappa,Inter-Riverine,TAB:B,NA,prism,Xhch,Poor,N,740,0,+740-840-002+
H-1151,Harappa,Inter-Riverine,TAB:B,NA,rectangular,Phyt,Poor,N,400,1,+400-740-840-000+
H-846,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Fair,Y,400,1,+400-740-100-031-705+
H-848,Harappa,Inter-Riverine,TAB:B,Faience,prism,NA,Poor,N,740,0,+740-100-000-000+
H-852,Harappa,Inter-Riverine,TAB:B,Faience,prism,Phyt,Fair,Y,740,0,+740-760-268-233-220+
H-853,Harappa,Inter-Riverine,TAB:B,NA,prism,Bult,Fair,Y,740,0,+740-177-231+
H-854,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Poor,Y,400,1,+400-740-335-003+
H-1107,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Fair,Y,740,0,+740-390-590-235+
H-875,Harappa,Inter-Riverine,TAB:B,Clay,cuboid,NA,Fair,Y,400,1,+400-740-840-013+
H-891,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,N,400,1,+400-740-590-017-000+
H-893,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,400,1,+400-740-337+
H-895,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,N,400,1,+400-740-630-000[
H-904,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,740,0,+740-032-840-002+
H-1191,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Good,Y,400,1,+400-740-760-220-416+
H-916,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,400,1,+400-740-032-059+
H-977,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,N,400,1,+400-740-032-000[
H-926,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,N,400,1,+400-740-840-000-220+
M-893,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,?,740,0,+740-900-004[
-:1983.1,Lothal,Gujarat/Kutch,SEAL:R,Steatite,rectangular,NA,Poor,?,740,0,]740-564+
H-954,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,090,1,+090-740-235-240+
H-1160,Harappa,Inter-Riverine,TAB:I,NA,rectangular,Gavi,Poor,N,400,1,+400-740-760-000[
H-975,Harappa,Inter-Riverine,TAB:I,Steatite,prism,NA,Poor,Y,740,0,+740-760-382+
H-983,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Fair,Y,400,1,+400-740-637-240+
H-994,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,740,0,]740-760-480-319+
H-1424,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,740,0,]740-760-745+
M-1452,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Poor,Y,740,0,+740-407-590+
Jk-2,Jhukar,Lower Indus,SEAL:S,NA,square,Bull1:J,Fair,Y,740,0,+740-803-233-002-817+
K-2,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,N,740,0,+740-585-017-002-000+
K-6,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:II,Fair,Y,622,1,+622-740-717/368-861-820-551+
K-7,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-100-176-838-001-220-455-530-741+
K-9,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,515,1,+515-740-220-003-900+
K-10,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Fine,Y,740,0,+740-690-435-255-002-368-861-590-032-368+
K-11,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:S,Fine,Y,740,0,+740-717-415-790-900+
K-13,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fine,Y,740,0,+740-585-017-741-630+
K-15,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:II,Fine,Y,871,3,+871-947/400-740-543-350-895-785-220-335+
K-16,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:X,Fine,Y,090,1,+090-740-240/060-820+
K-23,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Good,Y,740,0,+740-441-002-820-033+
K-24,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,740,0,+740-760-093-002-252-575+
K-28,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Gaur,Good,Y,440,2,+440-411-740-335-002-285-491+
K-31,Kalibangan,Inter-Riverine,SEAL:S,Copper,square,NA,Poor,N,740,0,+740-000-350+
K-43,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Comp,Fine,N,740,0,+740-760-000-742-000-742+
K-44,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,N,740,0,+740-337-176-002-000-000[
K-55,Kalibangan,Inter-Riverine,SEAL,Steatite,NA,NA,Poor,N,090,1,+090-740-004-000[
K-56,Kalibangan,Inter-Riverine,MISC,Terracotta,square,Bull1:I,Fair,Y,740,0,+740-165-060-550+
K-62,Kalibangan,Inter-Riverine,SEAL:R,Terracotta,cuboid,NA,Good,Y,740,0,+740-176-233-803+
K-68,Kalibangan,Inter-Riverine,TAB:B,Faience,cuboid,Bull1,Poor,Y,400,1,+400-740-263+
K-78,Kalibangan,Inter-Riverine,TAB:B,Terracotta,rectangular-round,Gavi,Good,Y,740,0,+740-817-390-002-820+
K-81,Kalibangan,Inter-Riverine,TAG:L,NA,NA,NA,Poor,N,740,0,+740-100-000-717-032-000+
K-87,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Mult,Poor,N,740,0,+740-000-000-002-861[
K-88,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Bull1,Poor,N,740,0,+740-000-460-002-861+
K-89,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Bull1,Fair,Y,090,1,+090-740-362-002-360-832+
K-90,Kalibangan,Inter-Riverine,POT:T:g,NA,NA,NA,Fine,Y,740,0,+740-798-700+
K-98,Kalibangan,Inter-Riverine,POT:T:g,NA,NA,NA,Poor,?,400,1,+400-740-411-590[
K-104,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,Y,740,0,+740-180+
K-108,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,740,0,+740-354-000[
K-121,Kalibangan,Inter-Riverine,ROD,Copper,NA,NA,Fair,N,090,1,+090-740-240-032-000+
Krs-2,Khirsara,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Good,Y,740,0,+740-575-017+
-:1971.1,Kish,Mesopotamia,SEAL:S,NA,square,Bull1:L,Good,Y,740,0,+740-390-590-220-003-060-840-416+
Lh-1,Lohumjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Fair,Y,740,0,+740-760-615-104-717-235-002-392-590-125+
-:4255.1,Dholavira,Gujarat/Kutch,SEAL,NA,rectangular,NA,Poor,N,000,1,+000-740-000[
L-4,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,Y,090,1,+090-740-100-233-002-575-031+
L-5,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:J,Poor,N,740,0,+740-760-552/000-002-455-692-416+
L-14,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,N,685,2,+685-001-740-760-604-000+
L-25,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,N,740,0,+740-016-002-000[
L-26,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-798-240-060-111-166+
L-28,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740,0,+740-406-590-741-060-920+
L-31,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,N,090,2,+090-255-740-233-000[
L-55,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,NA,Poor,Y,740,0,+740-176-233+
L-41,Lothal,Gujarat/Kutch,SEAL:S,Clay,square,Bull,Poor,Y,090,1,+090-740-233-002-817+
L-46,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Gaur,Poor,Y,527,3,+527-388-233-740-176-002-861-392+
M-1734,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,good,Y,740,0,+740-912+
L-58,Lothal,Gujarat/Kutch,SEAL:S,Clay,square,NA,Poor,Y,740,0,+740-550+
L-60,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,NA,Poor,Y,740,0,+740-861-140+
L-78 ,Lothal,Gujarat/Kutch,SEAL:R,Clay,cuboid-convex,NA,Poor,N,090,1,+090-740-000-503+
L-83,Lothal,Gujarat/Kutch,SEAL:L,Agate,oval,NA,Poor,Y,740,0,+740-806-240-002-820+
L-87,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,740,0,+740-032-840-233-220-032-060-825-002+
L-95,Lothal,Gujarat/Kutch,SEAL:R,Clay,rectangular,NA,Poor,N,740,0,+740-000-175-002-880+
L-103,Lothal,Gujarat/Kutch,SEAL:R,Clay,cuboid,NA,Poor,N,740,0,+740-575-000[
L-111,Lothal,Gujarat/Kutch,SEAL:R,Shell,rectangular,NA,Good,Y,740,0,+740-904-240-235+
L-112,Lothal,Gujarat/Kutch,SEAL:R,Clay,rectangular,NA,Poor,Y,740,0,+740-760-605-002-540-590+
L-114,Lothal,Gujarat/Kutch,SEAL:R,Steatite,rectangular,NA,Poor,Y,740,0,+740-407-590-904-220-032-803-060-920+
L-122,Lothal,Gujarat/Kutch,SEAL:R,Agate,cuboid,NA,Fair,Y,527,2,+527-550-740-443-060-820+
L-127,Lothal,Gujarat/Kutch,TAG:L,Clay,NA,Bull1,Poor,Y,090,1,+090-740-220-055-001-741-500-705+
L-140,Lothal,Gujarat/Kutch,TAG,Clay,NA,Bull1,Poor,N,151,1,+151-740-000-000-000+
L-141,Lothal,Gujarat/Kutch,TAG,Clay,NA,Bull1,Fair,N,740,0,+740-552-031-700-000-000+
L-143,Lothal,Gujarat/Kutch,TAG,NA,NA,Bull1,Poor,Y,740,0,+740-388-220-004-060-920+
M-895,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740,0,+740-048-002-817+
L-180,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,740,0,+740-100-140-000[
L-184,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,151,1,]151-740[
L-198,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,740,0,+740-390-590-032-002-000[
L-205,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,740,0,+740-798-803-002-000[
L-207,Lothal,Gujarat/Kutch,TAG,Clay,square,Bull1,Poor,Y,740,0,+740-482-002-820+
L-210,Lothal,Gujarat/Kutch,TAG,Clay,square,Bull1,Poor,N,740,0,+740-904-000-000[
L-211,Lothal,Gujarat/Kutch,TAG,Clay,NA,Bull,Poor,N,740,0,+740-100-231-000[
L-211,Lothal,Gujarat/Kutch,TAG,Clay,NA,Bull,Poor,N,740,0,+740-388-233-220-002-000[
L-211,Lothal,Gujarat/Kutch,TAG,Clay,NA,Bull,Poor,N,740,0,+740-760-335-240-000[
L-217,Lothal,Gujarat/Kutch,TAB:B,Faience,rectangular,Mult,Fair,Y,740,0,+740-090-703+
L-217,Lothal,Gujarat/Kutch,TAB:B,Faience,rectangular,Mult,Fair,Y,740,0,+740-821-741-060-920+
-:2155.1,Mohenjo-daro,Lower Indus,POT:T:g,Clay,NA,NA,?,Y,740,0,+740-005+
M-2061,Mohenjo-daro,Lower Indus,POT:T:g,Clay,NA,NA,Good,Y,742,2,+742-406/740-482-235-001-480+
M-2063,Mohenjo-daro,Lower Indus,POT:T:g,Clay,NA,NA,Good,Y,740,0,+740-142-480+
M-1755,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Fair,Y,740,0,+740-176-002-861+
M-1989,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,679,1,+679-740-575-017-798+
M-1989,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,679,1,+679-740-575+
-:2180.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:V,Good,Y,740,0,+740-840-416-240-741-500-091+
M-1792,Mohenjo-daro,Lower Indus,SEAL:S,Silver,square,Bull1:J,Good,Y,740,0,+740-760-240/740-952-740+
M-1751,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,565,1,+565-740-235+
M-1818,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-061-877+
M-1805,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,740,0,+740-440-741-060-920+
M-1766,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-032-845-240-002-269-892-810-033+
M-1705,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-798-235+
M-1685,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,090,1,+090-740-101-908-545+
M-1895,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,N,740,0,+740-923-000-002-285+
M-2003,Mohenjo-daro,Lower Indus,POT:T:s,Clay,NA,NA,Poor,?,740,0,]740-831-820-705+
M-2113,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,400,1,+400-740-760-435-690+
M-165,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,817,1,+817-740-194/740-760-001-741-390-032+
M-235,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,368,3,+368-001-550/740-543-350-002-820+
M-682,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,N,000,6,+000-000-000-000-000-000/740-803-060-692-740-690-435-255-060-692+
M-1881,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740,0,+740-100-176-741-617+
M-1676,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,740,0,+740-760-070-255-832-240-002-595-504-803+
M-1923,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Fair,Y,740,0,+740-760-440-853-016+
M-1975,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,740,0,+740-752-001-595-204-920+
M-1737,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-760-072-921-032-002-820+
M-1743,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,064,3,+064-840-140-740-176+
M-1916,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Fair,Y,740,0,+740-604-142-002-518+
M-1956,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,740,0,+740-900-790-220-415-798-806+
H-1153,Harappa,Inter-Riverine,TAB:B,Ceramic,prism,Bult,Poor,N,740,0,+740-000-000-000-000+
M-1674,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,090,1,+090-740-222-231-002-861-683+
M-1702,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-191+
-:2247.1,Mohenjo-daro,Lower Indus,SEAL:R,Paste,rectangular,NA,Good,N,740,0,+740-798-405-000[
M-966,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-042-741-060-920+
M-1704,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-760-605-002-861+
M-1753,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,740,0,+740-760-519-240-002-861+
M-1721,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-042-002-820+
M-963,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,740,0,+740-176-002-817+
M-1668,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,740,0,+740-773-233-803-002-320-705-125+
M-1717,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-760-017-503-368-817+
M-2046,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Gaur,Fair,Y,740,0,+740-752-615-503+
M-1726,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-615-495-240-002-861+
M-1990,Mohenjo-daro,Lower Indus,SEAL,Steatite,rectangular,NA,Poor,Y,740,0,+740-760-440-240-220-002-861+
M-1694,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:II,Fair,N,740,0,+740-388-220-235-000[
M-1722,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,740,0,+740-407-000[
M-1879,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,740,0,+740-636-240-066-556+
M-1746,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,090,1,+090-740-100-415-240-002-817+
M-1760,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740,0,+740-923-240-235-060-820+
M-2050,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Anth,Fair,Y,740,0,+740-900-850-407-061-845-806+
M-1791,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-760-268-002-840-032+
M-1706,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,740,0,+740-803-220-032-220-002-820+
M-808,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-455-240-235-060-820+
M-1711,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-760-049-002-817+
M-1772,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,740,0,+740-400-142-061-002-798-435-255-705+
M-1708,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,740,0,+740-585-017-002-817+
M-1009,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Poor,N,740,0,+740-100-415-000[
M-1784,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-923-806+
M-1810,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-100-140-003-002-156-920+
M-1763,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:W,Fair,Y,416,3,+416-001-565-740-220-032-002-861+
M-1891,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,400,1,+400-740-017-503-240+
M-1821,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,740,0,+740-838-741-390-900-140+
M-517,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Good,Y,740,0,+740-615-503+
M-1445,Mohenjo-daro,Lower Indus,TAB:I,Steatite,NA,NA,Good,Y,740,0,+740-690-060-550+
-:3872.2,Rupar,Eastern Headwaters,TAG:L,Clay,NA,Bull1:J,Fair,Y,740,0,+740-585-017+
M-1922,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,NA,Good,Y,740,0,+740-405-590+
M-1671,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,791,3,+791-575-413/740-222-176-060-920+
M-1804,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-798-231-060-820+
M-1714,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Fair,Y,617,3,+617-243-031-740-861+
M-1817,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:II,Good,Y,740,0,+740-388-235+
M-1988,Mohenjo-daro,Lower Indus,SEAL,Steatite,cuboid,NA,Good,Y,740,0,+740-772-240+
M-1770,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Good,Y,740,0,+740-176-390-090-390+
M-2098,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Good,Y,400,1,+400-740-176-140+
M-1893,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,740,0,+740-927-033-817+
M-1982,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,740,0,+740-100-240-031+
M-1789,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:I,Good,Y,740,0,+740-455-002-368-260+
M-2122,Mohenjo-daro,Lower Indus,IMPL,Copper,NA,NA,Poor,Y,832,2,+832/006-740/090+
M-1695,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-337-484-031-060-891+
M-1759,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-032-840-002-768+
M-707,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-760-001-220-415-798-803+
K-157,Kalibangan,Inter-Riverine,TAB:B,Terracotta,rectangular-round,Gavi,Poor,N,740,0,+740-000-000-002-820+
M-1416,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Cros,Good,Y,090,1,+090-740-240-235-590-645-104+
M-1686,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-904-220-032-002-142+
M-1715,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-923-033-705-060-692+
-:2388.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740,0,+740-637-240-002-861+
M-1681,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,520,3,+520-072-233-740-798-002-861-832+
M-1651,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,400,1,+400-740-585-838-240+
M-1663,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,740,0,+740-760-840-416-175-742-000+
M-1883,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,090,1,+090-740-035-171-061-031-002-069+
M-1787,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,N,740,0,+740-061-002-703-000+
M-1680,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-717-220-415+
C-94,Chanhu-daro,Lower Indus,MISC,Copper,axe,NA,Fair,Y,740,0,+740-463-503+
M-1691,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,740,0,+740-690-435-255-240-741-906+
M-1725,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,400,1,+400-740-100-140-003+
M-1796,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-032-840-740-455-861+
M-1910,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Poor,Y,520,4,+520-240-031-001-740-121+
M-433,Mohenjo-daro,Lower Indus,TAB:B,NA,circular,NA,Poor,N,740,0,+740-390-590-033-705-000+
M-1954,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,740,0,+740-407-590-031-752-033-705-220-415-798-002-861+
M-1732,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:II,Poor,Y,241,2,+241-832-740-176+
M-1768,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-798-220-060-820+
M-2014,Mohenjo-daro,Lower Indus,TAB:B,Clay,spherical,Mult,Fair,Y,740,0,+740-032-840-220+
M-1719,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-643-240+
M-1830,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:X,Poor,Y,740,0,+740-388-002-820+
M-1407,Mohenjo-daro,Lower Indus,TAB:B,Faience,cylindrical,NA,Poor,Y,740,0,+740-760-335-803+
M-1887,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,740,0,+740-083-235-240+
M-1771,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,740,0,+740-384-741-859+
M-1739,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740,0,+740-390-590-032-060-201+
M-1752,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740,0,+740-760-019-002-817+
M-1882,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Poor,N,740,0,+740-927-220-235-000[
M-1820,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740,0,+740-460-510+
M-1834,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,450,3,+450-617-033/740-463-510-741-252-791+
M-595,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-100-415-176-002-820+
M-1548,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Fair,Y,740,0,+740-690-435-255-231+
M-2107,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Good,Y,400,1,+400-740-840-013-240+
M-1972,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,Y,740,0,+740-455-235-798-742-460-353+
M-1903,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Fair,Y,740,0,+740-861-125+
M-1841,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-760-260/220-255-220-063-315+
M-1021,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull,Poor,?,740,0,+740-803-235[
M-1965,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,N,407,2,+407-061-740-575-000[
