"acquisition_rank","primary_bucket","source_route","evidence_grade_now","cisi","packet_rank_min","packet_row_count","packet_rows","packet_labels","subtypes","short_texts","side_relations","context_classes","longer_texts","long_token_sets","sequence_family_keys","sequence_family_count_max_no_h","metadata_row_count","metadata_rows","excavation_ids","figure_refs","area_sections","room_grids","period_phase","depth","material","shape_cross_section","condition_preservation","dimensions_mm","local_rows_to_reconcile","public_lead_statuses","source_request","preserves_034_residue_if","kills_or_downgrades_if","source_check_status"
"54","C_033_400_740_176_sibling","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1344","48","1","4085.2","duplicate_family_risk;sibling_033_branch","033","4085.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","4085.1;4085.2","-752","","--","--","-/-","- -","","prism/triangular","Fair/complete","14 x 8 x 0","4085.1:+400-740-176+;4085.2:+700-033+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1344. Metadata source hooks: -752. Packet rows to verify: 4085.2 +700-033+. All local rows to reconcile: 4085.1 +400-740-176+; 4085.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"55","C_033_400_740_176_sibling","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1345","49","1","4086.2","duplicate_family_risk;sibling_033_branch","033","4086.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","4086.1;4086.2","3509902","","FTrench I","-M11/21","Period 3B/C/Stratum V","-13.5 ft","Steatite","prism/triangular","Poor/complete","14.5 x 6.4 x 0","4086.1:+400-740-176+;4086.2:+700-033+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1345. Metadata source hooks: 3509902. Packet rows to verify: 4086.2 +700-033+. All local rows to reconcile: 4086.1 +400-740-176+; 4086.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"56","C_033_400_740_176_sibling","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1346","50","1","4087.2","duplicate_family_risk;sibling_033_branch","033","4087.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","4087.1;4087.2","2894900","","FTrench I","-M11/23","Period 3B/C/Stratum V","-12.25 ft","Steatite","prism/triangular","Fair/slightly chipped","10.2 x 6.4 x 0","4087.1:+400-740-176+;4087.2:+700-033+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1346. Metadata source hooks: 2894900. Packet rows to verify: 4087.2 +700-033+. All local rows to reconcile: 4087.1 +400-740-176+; 4087.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"57","C_033_400_740_176_sibling","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1347","51","1","4088.2","duplicate_family_risk;sibling_033_branch","033","4088.2:+700-033+","short_after_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+400-740-176+|2:+700-033+","14","2","4088.1;4088.2","1262896","","FTrench I","-M11/18","Period 3B/C/Stratum V","- -","Steatite","prism/triangular","Fair/chipped","0 x 7.6 x 0","4088.1:+400-740-176+;4088.2:+700-033+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1347. Metadata source hooks: 1262896. Packet rows to verify: 4088.2 +700-033+. All local rows to reconcile: 4088.1 +400-740-176+; 4088.2 +700-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","033 remains a visually stable sibling subtype and +400-740-176+ segmentation survives.","033/034 collapse visually, H-355 duplicate short rows are not physical sides, or direction notes invalidate row order.","source_acquisition_only_source_images_not_validated"
"58","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-697","80","1","1602.2","032_control;duplicate_family_risk","032","1602.2:+700-032+","short_after_all_longer","single_longer_text","+740-904-240-002-817+","002;240;740;817;904","1:+740-904-240-002-817+|2:+700-032+","2","2","1602.1;1602.2","10965","","F-","--","Period 3C-4/Stratum I","- -","Clay","rectangular/rectangular","Fair/complete","24.1 x 10.2 x 0","1602.1:+740-904-240-002-817+;1602.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-697. Metadata source hooks: 10965. Packet rows to verify: 1602.2 +700-032+. All local rows to reconcile: 1602.1 +740-904-240-002-817+; 1602.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"59","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1100","81","1","3959.2","032_control;duplicate_family_risk","032","3959.2:+700-032+","short_after_all_longer","single_longer_text","+740-904-240-002-817+","002;240;740;817;904","1:+740-904-240-002-817+|2:+700-032+","2","2","3959.1;3959.2","-797","","--","--","-/-","- -","","rectangular/-","Fair/complete","26 x 16 x 0","3959.1:+740-904-240-002-817+;3959.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1100. Metadata source hooks: -797. Packet rows to verify: 3959.2 +700-032+. All local rows to reconcile: 3959.1 +740-904-240-002-817+; 3959.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"60","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1864","83","1","599.1","032_control;allograph_direction_risk","032","599.1:+032-700+","short_before_all_longer","single_longer_text","+740-142-062-002-817+","002;062;142;740;817","1:+032-700+|2:+740-142-062-002-817+","1","2","599.1;599.2","H94-2511","Figure 17.03","--","--","-/-","-0.0 m","Faience","rectangular/rectangular","Fair/complete","18.5 x 10.4 x 4.6","599.1:+032-700+;599.2:+740-142-062-002-817+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1864. Metadata source hooks: H94-2511; Figure 17.03. Packet rows to verify: 599.1 +032-700+. All local rows to reconcile: 599.1 +032-700+; 599.2 +740-142-062-002-817+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"61","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1771","94","1","371.1","032_control;duplicate_family_risk","032","371.1:+700-032+","short_before_all_longer","single_longer_text","+740-031-001-140+","001;031;140;740","1:+700-032+|2:+740-031-001-140+","3","2","371.1;371.2","H2000-4375","Figure 36.03","--","--","Period 3B/C/B/C","- -","Faience","rectangular/rectangular","Fair/complete","16 x 7.5 x 3 - 3.3","371.1:+700-032+;371.2:+740-031-001-140+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1771. Metadata source hooks: H2000-4375; Figure 36.03. Packet rows to verify: 371.1 +700-032+. All local rows to reconcile: 371.1 +700-032+; 371.2 +740-031-001-140+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"62","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1772","95","1","400.1","032_control;duplicate_family_risk","032","400.1:+700-032+","short_before_all_longer","single_longer_text","+740-031-001-140+","001;031;140;740","1:+700-032+|2:+740-031-001-140+","3","2","400.1;400.2","H2000-4437","Figure 39.05","ETrench 54","--","Period 3B/C/B/C","- -","Faience","rectangular/rectangular","Good/complete","17 x 8.8 x 2.1","400.1:+700-032+;400.2:+740-031-001-140+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1772. Metadata source hooks: H2000-4437; Figure 39.05. Packet rows to verify: 400.1 +700-032+. All local rows to reconcile: 400.1 +700-032+; 400.2 +740-031-001-140+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"63","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1773","96","1","383.1","032_control;duplicate_family_risk","032","383.1:+700-032+","short_before_all_longer","single_longer_text","+740-031-001-140+","001;031;140;740","1:+700-032+|2:+740-031-001-140+","3","2","383.1;383.2","H2000-4392","Figure 37.08","E-","--","Period 3B/C/B/C","- -","Faience","rectangular/rectangular","Poor/complete","16.3 x 7 x 1.6","383.1:+700-032+;383.2:+740-031-001-140+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1773. Metadata source hooks: H2000-4392; Figure 37.08. Packet rows to verify: 383.1 +700-032+. All local rows to reconcile: 383.1 +700-032+; 383.2 +740-031-001-140+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"64","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-209","120","1","1240.2","032_control","032","1240.2:+700-032+","short_after_all_longer","single_longer_text","+400-921-690-435-255-055+","055;255;400;435;690;921","1:+400-921-690-435-255-055+|2:+700-032+","1","2","1240.1;1240.2","10242348","","F-","--","Period 3B/C/-","-13.42 ft","Faience","rectangular/plano-convex","Poor/complete","17.8 x 10.9 x 0","1240.1:+400-921-690-435-255-055+;1240.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-209. Metadata source hooks: 10242348. Packet rows to verify: 1240.2 +700-032+. All local rows to reconcile: 1240.1 +400-921-690-435-255-055+; 1240.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"65","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-213","121","1","1244.2","032_control","032","1244.2:+700-032+","short_after_all_longer","single_longer_text","+400-520-400-352+","352;400;520","1:+400-520-400-352+|2:+700-032+","1","2","1244.1;1244.2","13011","","--","--","-/-","- -","","rectangular/-","Good/complete","18 x 10 x 0","1244.1:+400-520-400-352+;1244.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-213. Metadata source hooks: 13011. Packet rows to verify: 1244.2 +700-032+. All local rows to reconcile: 1244.1 +400-520-400-352+; 1244.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"66","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-230","122","1","1257.2","032_control","032","1257.2:+700-032+","short_after_all_longer","single_longer_text","+520-072-219+","072;219;520","1:+520-072-219+|2:+700-032+","1","2","1257.1;1257.2","9059324","","F-","--","Period 3B/C/Stratum V","-13.0 ft","Faience","hexagonal/-","Good/complete","25.4 x 11.4 x 0","1257.1:+520-072-219+;1257.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-230. Metadata source hooks: 9059324. Packet rows to verify: 1257.2 +700-032+. All local rows to reconcile: 1257.1 +520-072-219+; 1257.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"67","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-232","123","1","1259.2","032_control","032","1259.2:+700-032+","short_after_all_longer","single_longer_text","+400-740-177-519+","177;400;519;740","1:+400-740-177-519+|2:+700-032+","1","2","1259.1;1259.2","H550368","","H-","-S24/9","Period 5A/Stratum II","-5.25 ft","Faience","notched oval/rectangular","Fair/complete","22.9 x 14 x 0","1259.1:+400-740-177-519+;1259.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-232. Metadata source hooks: H550368. Packet rows to verify: 1259.2 +700-032+. All local rows to reconcile: 1259.1 +400-740-177-519+; 1259.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"68","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-251","124","1","1276.2","032_control","032","1276.2:+700-032+","short_after_all_longer","single_longer_text","+400-740-100-240+","100;240;400;740","1:+400-740-100-240+|2:+700-032+","1","2","1276.1;1276.2","8800342","","FGranery","-I9/22","Period 3B/C/Stratum V","-12.0 ft","Faience","prism/triangular","Fair/complete","17.8 x 10.2 x 0","1276.1:+400-740-100-240+;1276.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-251. Metadata source hooks: 8800342. Packet rows to verify: 1276.2 +700-032+. All local rows to reconcile: 1276.1 +400-740-100-240+; 1276.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"69","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-321","125","1","1343.2","032_control;allograph_direction_risk","032","1343.2:+032-700+","short_after_all_longer","single_longer_text","+740-690-630-240+","240;630;690;740","1:+740-690-630-240+|2:+032-700+","1","2","1343.1;1343.2","J575","","D-","-Q 31/18","-/Stratum II","-4.0 ft","Steatite","rectangular-round/rectangular","Good/fragment","17.8 x 11.4 x 0","1343.1:+740-690-630-240+;1343.2:+032-700+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-321. Metadata source hooks: J575. Packet rows to verify: 1343.2 +032-700+. All local rows to reconcile: 1343.1 +740-690-630-240+; 1343.2 +032-700+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"70","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-322","126","1","1344.2","032_control","032","1344.2:+700-032+","short_after_all_longer","single_longer_text","+400-740-032-028+","028;032;400;740","1:+400-740-032-028+|2:+700-032+","1","2","1344.1;1344.2","","","--","--","-/-","- -","","rectangular-round/-","Poor/complete","17 x 10 x 0","1344.1:+400-740-032-028+;1344.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-322. Metadata source hooks: no excavation/figure hook in filtered metadata. Packet rows to verify: 1344.2 +700-032+. All local rows to reconcile: 1344.1 +400-740-032-028+; 1344.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"71","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-341","127","1","1362.2","032_control","032","1362.2:+700-032+","short_after_all_longer","single_longer_text","+400-740-336-176+","176;336;400;740","1:+400-740-336-176+|2:+700-032+","1","2","1362.1;1362.2","4080419","","D-","-Q30/10","-/Stratum I","-1.0 ft","Steatite","triangular/rectangular","Poor/fragment","17.8 x 15.2 x 0","1362.1:+400-740-336-176+;1362.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-341. Metadata source hooks: 4080419. Packet rows to verify: 1362.2 +700-032+. All local rows to reconcile: 1362.1 +400-740-336-176+; 1362.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"72","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-766","128","1","1658.2","032_control","032","1658.2:+700-032+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+065-826+|2:+700-032+","1","2","1658.1;1658.2","H715359","","H-","--","Period 4/-","- -","Faience","rectangular/rectangular","Good/complete","16.5 x 11.4 x 0","1658.1:+065-826+;1658.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-766. Metadata source hooks: H715359. Packet rows to verify: 1658.2 +700-032+. All local rows to reconcile: 1658.1 +065-826+; 1658.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"73","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-768","129","1","1660.2","032_control","032","1660.2:+700-032+","no_longer_text","single_short_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+400-740-033-705-233-235-000+|2:+700-032+","1","2","1660.1;1660.2","10997358","","FTrench VI","-O10/24","Period 3C-3/Stratum II","-3.5 ft","Faience","rectangular/rectangular","Fair/complete","21.6 x 10.2 x 0","1660.1:+400-740-033-705-233-235-000+;1660.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-768. Metadata source hooks: 10997358. Packet rows to verify: 1660.2 +700-032+. All local rows to reconcile: 1660.1 +400-740-033-705-233-235-000+; 1660.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"74","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-777","130","1","1668.1","032_control;allograph_direction_risk","032","1668.1:+032-700+","short_before_all_longer","single_longer_text","+390-004-104+","004;104;390","1:+032-700+|2:+390-004-104+","1","2","1668.1;1668.2","H86-01","","--","--","-/-","- -","","rectangular/-","Fair/complete","18.5 x 10 x 0","1668.1:+032-700+;1668.2:+390-004-104+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-777. Metadata source hooks: H86-01. Packet rows to verify: 1668.1 +032-700+. All local rows to reconcile: 1668.1 +032-700+; 1668.2 +390-004-104+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"75","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-815","131","1","1704.1","032_control","032","1704.1:+700-032+","short_before_all_longer","single_longer_text","+520-072-219+","072;219;520","1:+700-032+|2:+520-072-219+","1","2","1704.1;1704.2","11358","","FTrench VI","-O10/19","Period 3C-3/Stratum II","-5.5 ft","Faience","hexagonal/rectangular","Good/complete","25.4 x 11.4 x 0","1704.1:+700-032+;1704.2:+520-072-219+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-815. Metadata source hooks: 11358. Packet rows to verify: 1704.1 +700-032+. All local rows to reconcile: 1704.1 +700-032+; 1704.2 +520-072-219+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"76","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-817","132","1","1706.2","032_control;allograph_direction_risk","032","1706.2:+032-700+","short_after_all_longer","single_longer_text","+400-740-336-018+","018;336;400;740","1:+400-740-336-018+|2:+032-700+","1","2","1706.1;1706.2","1235369","","FTrench I","-M11/19","Period 3B/C/Stratum V","-12.75 ft","Faience","notched oval/rectangular","Fair/complete","20.3 x 11.4 x 0","1706.1:+400-740-336-018+;1706.2:+032-700+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-817. Metadata source hooks: 1235369. Packet rows to verify: 1706.2 +032-700+. All local rows to reconcile: 1706.1 +400-740-336-018+; 1706.2 +032-700+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"77","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-850","133","1","1736.2","032_control;allograph_direction_risk;duplicate_family_risk","032","1736.2:+032-700+","short_after_all_longer","single_longer_text","+400-740-892-617+","400;617;740;892","1:+400-740-892-617+|2:+032-700+","2","2","1736.1;1736.2","J619642","","D-","-Q30/13","-/Stratum III","-4.58 ft","Faience","prism/triangular","Poor/complete","16 x 10.2 x 0","1736.1:+400-740-892-617+;1736.2:+032-700+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-850. Metadata source hooks: J619642. Packet rows to verify: 1736.2 +032-700+. All local rows to reconcile: 1736.1 +400-740-892-617+; 1736.2 +032-700+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"78","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-965","134","1","1842.2","032_control;duplicate_family_risk","032","1842.2:+700-032+","short_after_all_longer","single_longer_text","+740-690-636-240+","240;636;690;740","1:+740-690-636-240+|2:+700-032+","2","2","1842.1;1842.2","3397562","","FTrench I","-M11/21","Period 3C-1/Stratum IV","-10.42 ft","Steatite","rectangular-round/rectangular","Poor/chipped","17.8 x 11.4 x 0","1842.1:+740-690-636-240+;1842.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-965. Metadata source hooks: 3397562. Packet rows to verify: 1842.2 +700-032+. All local rows to reconcile: 1842.1 +740-690-636-240+; 1842.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"79","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1102","135","1","273.2","032_control","032","273.2:+700-032+","short_after_all_longer","single_longer_text","+400-740-382+","382;400;740","1:+400-740-382+|2:+700-032+","1","2","273.1;273.2","2891347","","FGranery","-I9/9","Period 3B/C/Stratum V","-11.75 ft","Faience","rectangular/rectangular","Poor/complete","21.6 x 10.2 x 0","273.1:+400-740-382+;273.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1102. Metadata source hooks: 2891347. Packet rows to verify: 273.2 +700-032+. All local rows to reconcile: 273.1 +400-740-382+; 273.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"80","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1320","136","1","4072.2","032_control","032","4072.2:+700-032+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+400-678+|2:+700-032+","1","2","4072.1;4072.2","3027558","","F-","--","Period 3B/C/-","-12 ft","","notched oval/rectangular","Poor/complete","17 x 10 x 0","4072.1:+400-678+;4072.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1320. Metadata source hooks: 3027558. Packet rows to verify: 4072.2 +700-032+. All local rows to reconcile: 4072.1 +400-678+; 4072.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"81","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1321","137","1","317.2","032_control","032","317.2:+700-032+","short_after_all_longer","single_longer_text","+400-226-032+","032;226;400","1:+400-226-032+|2:+700-032+","1","2","317.1;317.2","Af97556","","F-","--","Period 3B/C/-","-5.25 ft","Steatite","notched oval/rectangular","Poor/complete","16.5 x 10.2 x 0","317.1:+400-226-032+;317.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1321. Metadata source hooks: Af97556. Packet rows to verify: 317.2 +700-032+. All local rows to reconcile: 317.1 +400-226-032+; 317.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"82","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1774","138","1","1021.2","032_control","032","1021.2:+700-032+","short_after_all_longer","single_longer_text","+400-740-335-482-175+","175;335;400;482;740","1:+400-740-335-482-175+|2:+700-032+","1","2","1021.1;1021.2","H99-4066","Figure 33.11","FTrench 43","--","Period 3B/C/B/C","- -","Faience","rectangular/rectangular","Good/complete","25 x 10.7 x 5.3","1021.1:+400-740-335-482-175+;1021.2:+700-032+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1774. Metadata source hooks: H99-4066; Figure 33.11. Packet rows to verify: 1021.2 +700-032+. All local rows to reconcile: 1021.1 +400-740-335-482-175+; 1021.2 +700-032+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
