"cisi","lipi_id","site","type","symbol","material","lipi_complete","direction","text","token_count","control_class","control_position_index0","prev_token","focus_token","next_token","y_after_002","availability_tier","local_image_hit_count","source_panel_graph_count","mayig_overlap_count","same_site_as_source_visible","same_type_as_source_visible","same_symbol_as_source_visible","target_length_bucket_match","match_score","local_image_paths_first5","source_panel_graph_labels","mayig_paths"
"M-1752","2457.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+740-760-019-002-817+","5","negative_002_y_prev_not_032","3","019","002","817","817","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-1753","2256.1","Mohenjo-daro","SEAL:S","Bull1:L","Steatite","Y","R/L","+740-760-519-240-002-861+","6","negative_002_y_prev_not_032","4","240","002","861","861","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-1759","2375.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+740-032-840-002-768+","5","negative_002_y_prev_not_032","3","840","002","768","768","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-177","2702.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+390-003-002-803+","4","negative_002_y_prev_not_032","2","003","002","803","803","mayig_overlap_only","0","0","1","yes","yes","no","no","7","","","corpus/m100_m199/m177.json"
"M-1772","2297.1","Mohenjo-daro","SEAL:S","Bull1:I","Steatite","Y","R/L","+740-400-142-061-002-798-435-255-705+","9","negative_002_y_prev_not_032","4","061","002","798","798","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-1789","2366.1","Mohenjo-daro","SEAL:S","Bull1:I","Faience","Y","R/L","+740-455-002-368-260+","5","negative_002_y_prev_not_032","2","455","002","368","368","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-1793","2349.1","Mohenjo-daro","SEAL:S","Bull1:L","Steatite","Y","R/L","+226-032-060-891+","4","negative_032_next_not_002","1","226","032","060","","metadata_only","0","0","0","yes","yes","no","no","7","","",""
"M-1823","3991.1","Mohenjo-daro","SEAL:S","Bull1:S","-","Y","R/L","+390-004-002-031-376+","5","negative_002_y_prev_not_032","2","004","002","031","031","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-1848","2267.1","Mohenjo-daro","SEAL:S","Bull1:U","Steatite","Y","R/L","+032-029+","2","negative_032_next_not_002","0","","032","029","","metadata_only","0","0","0","yes","yes","no","no","7","","",""
"M-1853","2461.1","Mohenjo-daro","SEAL:S","Bull1:I","Steatite","Y","R/L","+032-820-140-005+","4","negative_032_next_not_002","0","","032","820","","metadata_only","0","0","0","yes","yes","no","no","7","","",""
"M-1883","2398.1","Mohenjo-daro","SEAL:S","Gaur","Steatite","Y","R/L","+090-740-035-171-061-031-002-069+","8","negative_002_y_prev_not_032","6","031","002","069","069","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-1894","4001.1","Mohenjo-daro","SEAL:S","Zebu","-","Y","R/L","+740-440-233-002-413-368-031+","7","negative_002_y_prev_not_032","3","233","002","413","413","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-1907","2482.1","Mohenjo-daro","SEAL:S","Rhin","Steatite","Y","R/L","+390-005-002-455-511+","5","negative_002_y_prev_not_032","2","005","002","455","455","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-1909","4002.1","Mohenjo-daro","SEAL:S","Rhin","-","Y","R/L","+368-005-002-590-455+","5","negative_002_y_prev_not_032","2","005","002","590","590","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-1911","2409.1","Mohenjo-daro","SEAL:S","Rhin","Steatite","Y","R/L","+621-390-531-002-820+","5","negative_002_y_prev_not_032","3","531","002","820","820","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-1916","2232.1","Mohenjo-daro","SEAL:S","Tigr","Steatite","Y","R/L","+740-604-142-002-518+","5","negative_002_y_prev_not_032","3","142","002","518","518","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-1954","2422.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-407-590-031-752-033-705-220-415-798-002-861+","12","negative_002_y_prev_not_032","10","798","002","861","861","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-1976","2204.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+617-142-002-817+","4","negative_002_y_prev_not_032","2","142","002","817","817","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-199","2724.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+090-740-100-415-240-002-861+","7","negative_002_y_prev_not_032","5","240","002","861","861","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-200","2725.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-222-002-820+","4","negative_002_y_prev_not_032","2","222","002","820","820","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-2053","2284.2","Mohenjo-daro","TAB:C","None","Copper","Y","R/L","+407-032-520-095-585-017-220+","7","negative_032_next_not_002","1","407","032","520","","metadata_only","0","0","0","yes","no","yes","yes","7","","",""
"M-211","2735.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+090-740-100-220-002-031-165+","7","negative_002_y_prev_not_032","4","220","002","031","031","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-239","2762.1","Mohenjo-daro","SEAL:S","Gaur","Steatite","Y","R/L","+740-760-921-235-002-112+","6","negative_002_y_prev_not_032","4","235","002","112","112","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-242","2765.1","Mohenjo-daro","SEAL:S","Gaur","Steatite","Y","R/L","+740-721-002-301-350+","5","negative_002_y_prev_not_032","2","721","002","301","301","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-245","2768.1","Mohenjo-daro","SEAL:S","Gaur","Steatite","Y","R/L","+740-760-070-921-460-503-002-817+","8","negative_002_y_prev_not_032","6","503","002","817","817","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-246","2769.1","Mohenjo-daro","SEAL:S","Gaur","Steatite","Y","R/L","+740-503-235-233-002-817+","6","negative_002_y_prev_not_032","4","233","002","817","817","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-248","2771.1","Mohenjo-daro","SEAL:S","Gaur","Steatite","Y","R/L","+740-100-415-002-705-590+","6","negative_002_y_prev_not_032","3","415","002","705","705","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-251","2774.1","Mohenjo-daro","SEAL:S","Gaur","Steatite","Y","R/L","+390-003-002-125-350+","5","negative_002_y_prev_not_032","2","003","002","125","125","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-253","2776.1","Mohenjo-daro","SEAL:S","Gaur","Steatite","Y","R/L","+527-550-803-002-368-518+","6","negative_002_y_prev_not_032","3","803","002","368","368","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-260","2783.1","Mohenjo-daro","SEAL:S","Zebu","Faience","Y","R/L","+090-740-220-014-002-820+","6","negative_002_y_prev_not_032","4","014","002","820","820","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-267","2790.1","Mohenjo-daro","SEAL:S","Buff","Steatite","Y","R/L","+740-630-155-002-679+","5","negative_002_y_prev_not_032","3","155","002","679","679","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-278","2799.1","Mohenjo-daro","SEAL:S","Elep","Steatite","Y","R/L","+621-390-004-002-817+","5","negative_002_y_prev_not_032","3","004","002","817","817","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-280","2801.1","Mohenjo-daro","SEAL:S","Elep","Steatite","Y","R/L","+740-482-240-002-944-920-140+","7","negative_002_y_prev_not_032","3","240","002","944","944","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-285","2806.1","Mohenjo-daro","SEAL:S","Elep","Steatite","Y","R/L","+504-350-240-002-861+","5","negative_002_y_prev_not_032","3","240","002","861","861","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-289","2809.1","Mohenjo-daro","SEAL:S","Tigr","Steatite","Y","R/L","+740-176-240-002-817+","5","negative_002_y_prev_not_032","3","240","002","817","817","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-308","2827.1","Mohenjo-daro","SEAL:S","T-M-T","Steatite","Y","R/L","+520-220-002-727-317+","5","negative_002_y_prev_not_032","2","220","002","727","727","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-309","2828.1","Mohenjo-daro","SEAL:S","T-A-T","Steatite","Y","R/L","+224-740-061-002-824+","5","negative_002_y_prev_not_032","3","061","002","824","824","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-318","2836.2","Mohenjo-daro","SEAL:S","Zebu","Steatite","Y","R/L","+390-003-002-031-575+","5","negative_002_y_prev_not_032","2","003","002","031","031","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-325","2843.1","Mohenjo-daro","SEAL:S","Bull1:L","Steatite","Y","R/L","+241-803-002-850-493+","5","negative_002_y_prev_not_032","2","803","002","850","850","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-325","2843.2","Mohenjo-daro","SEAL:S","Bull1:L","Steatite","Y","R/L","+241-803-002-850-491+","5","negative_002_y_prev_not_032","2","803","002","850","850","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-327","2845.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-519-002-861+","4","negative_002_y_prev_not_032","2","519","002","861","861","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-329","2847.1","Mohenjo-daro","SEAL:S","None","Steatite","Y","R/L","+002-861-698+","3","negative_002_y_prev_not_032","0","","002","861","861","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-330","2848.1","Mohenjo-daro","SEAL:S","None","Steatite","Y","R/L","+002-861-698+","3","negative_002_y_prev_not_032","0","","002","861","861","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-355","2851.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-877-032-033-705-231-235-002-861-360-520-919-140+","13","negative_002_y_prev_not_032","7","235","002","861","861","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-359","2855.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-405-590-220-235-803-002-388-385-705-632+","11","negative_002_y_prev_not_032","6","803","002","388","388","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-364","2860.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-354-002-817+","4","negative_002_y_prev_not_032","2","354","002","817","817","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-385","2881.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+407-004-002-820+","4","negative_002_y_prev_not_032","2","004","002","820","820","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-408","2904.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+407-061-002-817+","4","negative_002_y_prev_not_032","2","061","002","817","817","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-494","2975.2","Mohenjo-daro","TAB:B","None","Clay","Y","R/L","+032-840-221-150-741-070-255+","7","negative_032_next_not_002","0","","032","840","","metadata_only","0","0","0","yes","no","yes","yes","7","","",""
"M-494","2975.3","Mohenjo-daro","TAB:B","None","Clay","Y","R/L","+921-100-415-904-017-032-820-740-904-741+","10","negative_032_next_not_002","5","017","032","820","","metadata_only","0","0","0","yes","no","yes","yes","7","","",""
"M-495","2976.2","Mohenjo-daro","TAB:B","None","Clay","Y","R/L","+032-840-267-150-741-070+","6","negative_032_next_not_002","0","","032","840","","metadata_only","0","0","0","yes","no","yes","yes","7","","",""
"M-495","2976.3","Mohenjo-daro","TAB:B","None","Clay","Y","R/L","+740-100-415-904-017-032-820-740-904-741+","10","negative_032_next_not_002","5","017","032","820","","metadata_only","0","0","0","yes","no","yes","yes","7","","",""
"M-511","2987.2","Mohenjo-daro","TAB:C","None","Copper","Y","R/L","+740-176-220-032+","4","negative_220_032_next_not_002","3","220","032","","","metadata_only","0","0","0","yes","no","yes","no","7","","",""
"M-512","2988.2","Mohenjo-daro","TAB:C","None","Copper","Y","R/L","+740-176-220-032+","4","negative_220_032_next_not_002","3","220","032","","","metadata_only","0","0","0","yes","no","yes","no","7","","",""
"M-599","3061.2","Mohenjo-daro","TAB:C","None","Copper","Y","L/R","+408-032-520-095-585-017-220+","7","negative_032_next_not_002","1","408","032","520","","metadata_only","0","0","0","yes","no","yes","yes","7","","",""
"M-623","3074.1","Mohenjo-daro","SEAL:S","Bull1:W","-","Y","R/L","+740-760-175-176-220-415-798-002-299-530-820+","11","negative_002_y_prev_not_032","7","798","002","299","299","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-677","3115.1","Mohenjo-daro","SEAL:S","Bull1:L","-","Y","R/L","+740-923-070-032-033-706-231-242-002-861-901+","11","negative_032_next_not_002","3","070","032","033","","metadata_only","0","0","0","yes","yes","no","no","7","","",""
"M-712","3137.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+390-003-002-861+","4","negative_002_y_prev_not_032","2","003","002","861","861","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-726","3150.1","Mohenjo-daro","SEAL:S","Bull1:T","-","Y","R/L","+031-850-140-236-220-032-803-002-820+","9","negative_002_y_prev_not_032","7","803","002","820","820","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-728","3152.1","Mohenjo-daro","SEAL:S","Bull1:V","Steatite","Y","R/L","+740-575-017-002-820+","5","negative_002_y_prev_not_032","3","017","002","820","820","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-732","3156.1","Mohenjo-daro","SEAL:S","Bull1:V","Steatite","Y","R/L","+520-400-350-002-817+","5","negative_002_y_prev_not_032","3","350","002","817","817","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-735","3159.1","Mohenjo-daro","SEAL:S","Bull1:U","Steatite","Y","R/L","+740-760-235-002-390-125-195+","7","negative_002_y_prev_not_032","3","235","002","390","390","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-781","3195.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+520-033-706-002-861+","5","negative_002_y_prev_not_032","3","706","002","861","861","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-785","3199.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+740-255-705-002-861+","5","negative_002_y_prev_not_032","3","705","002","861","861","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-792","3206.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+679-740-575-017-002-817+","6","negative_002_y_prev_not_032","4","017","002","817","817","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-795","3209.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+156-260-002-817+","4","negative_002_y_prev_not_032","2","260","002","817","817","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-813","3226.1","Mohenjo-daro","SEAL:S","Bull1:S","-","Y","R/L","+161-390-590-002-861+","5","negative_002_y_prev_not_032","3","590","002","861","861","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-816","3229.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+740-690-435-255-002-817+","6","negative_002_y_prev_not_032","4","255","002","817","817","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-839","3251.1","Mohenjo-daro","SEAL:S","Bull1:L","Steatite","Y","R/L","+740-100-415-002-817+","5","negative_002_y_prev_not_032","3","415","002","817","817","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-850","3262.1","Mohenjo-daro","SEAL:S","Bull1:L","Steatite","Y","R/L","+740-100-415-002-861+","5","negative_002_y_prev_not_032","3","415","002","861","861","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-853","3265.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+090-740-792-002-817+","5","negative_002_y_prev_not_032","3","792","002","817","817","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-869","3279.1","Mohenjo-daro","SEAL:S","Bull1:S","-","Y","R/L","+740-100-415-002-861+","5","negative_002_y_prev_not_032","3","415","002","861","861","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-889","3295.1","Mohenjo-daro","SEAL:S","Bull1:I","Steatite","Y","R/L","+740-384-032-803-002-820+","6","negative_002_y_prev_not_032","4","803","002","820","820","metadata_only","0","0","0","yes","yes","no","yes","7","","",""
"M-895","3300.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+740-048-002-817+","4","negative_002_y_prev_not_032","2","048","002","817","817","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-901","3306.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+090-125-002-861+","4","negative_002_y_prev_not_032","2","125","002","861","861","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-903","3308.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+740-772-002-817+","4","negative_002_y_prev_not_032","2","772","002","817","817","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"M-940","2243.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+527-555-002-817+","4","negative_002_y_prev_not_032","2","555","002","817","817","metadata_only","0","0","0","yes","yes","yes","no","7","","",""
"Blk-1","19.1","Bala-kot","SEAL:S","Bull1","-","Y","R/L","+226-003-002-297-350-125-413+","7","negative_002_y_prev_not_032","2","003","002","297","297","metadata_only","0","0","0","no","yes","yes","yes","6","","",""
"Blk-2","20.1","Bala-kot","SEAL:S","Bull1","-","Y","R/L","+390-717-061-002-368-634+","6","negative_002_y_prev_not_032","3","061","002","368","368","metadata_only","0","0","0","no","yes","yes","yes","6","","",""
"C-74","76.1","Chanhu-daro","SEAL:S","Gaur","Steatite","Y","R/L","+125-002-861+","3","negative_002_y_prev_not_032","1","125","002","861","861","metadata_only","0","0","0","yes","yes","no","no","6","","",""
"Dlv-1","145.1","Dholavira","SEAL:S","Bull1:J","-","Y","R/L","+151-382-031-002-861+","5","negative_002_y_prev_not_032","3","031","002","861","861","metadata_only","0","0","0","no","yes","yes","yes","6","","",""
"H-1102","273.2","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1123","313.2","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1130","3970.1","Harappa","TAB:B","None","-","Y","R/L","+740-482-240-002-861+","5","negative_002_y_prev_not_032","3","240","002","861","861","metadata_only","0","0","0","yes","no","yes","yes","6","","",""
"H-1131","3971.1","Harappa","TAB:B","None","-","Y","R/L","+740-482-240-002-861+","5","negative_002_y_prev_not_032","3","240","002","861","861","metadata_only","0","0","0","yes","no","yes","yes","6","","",""
"H-1133","249.2","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1134","3973.2","Harappa","TAB:B","None","-","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1140","3976.2","Harappa","TAB:B","None","-","Y","R/L","+740-032-840-679+","4","negative_032_next_not_002","1","740","032","840","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1146","682.1","Harappa","TAB:B","None","-","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1156","270.2","Harappa","TAB:B","None","Steatite","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1281","4068.1","Harappa","TAB:I","None","Steatite","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1287","264.1","Harappa","TAB:I","None","Steatite","Y","R/L","+400-156-140-032+","4","negative_032_next_not_002","3","140","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1294","1061.2","Harappa","TAB:I","None","Steatite","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1309","257.2","Harappa","TAB:I","None","Steatite","Y","L/R","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1312","229.2","Harappa","TAB:I","None","Steatite","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1313","4081.2","Harappa","TAB:I","None","Steatite","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1319","255.1","Harappa","TAB:I","None","Steatite","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1320","4072.2","Harappa","TAB:I","None","-","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1321","317.1","Harappa","TAB:B","None","Steatite","Y","R/L","+400-226-032+","3","negative_032_next_not_002","2","226","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1321","317.2","Harappa","TAB:B","None","Steatite","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1330","282.1","Harappa","TAB:I","None","Steatite","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1726","1007.1","Harappa","POT:T:s","None","Clay","Y","R/L","+740-100-692-491-002-817+","6","negative_002_y_prev_not_032","4","491","002","817","817","metadata_only","0","0","0","yes","no","yes","yes","6","","",""
"H-1788","805.1","Harappa","TAB:B","None","Faience","Y","R/L","+154-806-470-002-861+","5","negative_002_y_prev_not_032","3","470","002","861","861","metadata_only","0","0","0","yes","no","yes","yes","6","","",""
"H-1804","477.1","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1836","497.1","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1841","652.1","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1851","1024.2","Harappa","TAB:B","None","Faience","Y","R/L","+740-803-892-031-002-861+","6","negative_002_y_prev_not_032","4","031","002","861","861","metadata_only","0","0","0","yes","no","yes","yes","6","","",""
"H-1853","386.1","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1855","557.1","Harappa","TAB:B","None","Faience","Y","R/L","+032-700+","2","negative_032_next_not_002","0","","032","700","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1864","599.2","Harappa","TAB:B","None","Faience","Y","R/L","+740-142-062-002-817+","5","negative_002_y_prev_not_032","3","062","002","817","817","metadata_only","0","0","0","yes","no","yes","yes","6","","",""
"H-1864","599.1","Harappa","TAB:B","None","Faience","Y","R/L","+032-700+","2","negative_032_next_not_002","0","","032","700","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1865","411.1","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1879","876.1","Harappa","TAB:B","None","Faience","Y","R/L","+032-032-700+","3","negative_032_next_not_002","0","","032","032","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1879","876.1","Harappa","TAB:B","None","Faience","Y","R/L","+032-032-700+","3","negative_032_next_not_002","1","032","032","700","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1883","930.2","Harappa","TAB:B","None","Faience","Y","L/R","+740-790-032+","3","negative_032_next_not_002","2","790","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1899","628.1","Harappa","TAB:B","None","Faience","Y","R/L","+032-032-700+","3","negative_032_next_not_002","0","","032","032","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1899","628.1","Harappa","TAB:B","None","Faience","Y","R/L","+032-032-700+","3","negative_032_next_not_002","1","032","032","700","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1902","922.1","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1906","554.1","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1909","453.1","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1915","414.2","Harappa","TAB:B","None","Faience","Y","R/L","+032-920-491+","3","negative_032_next_not_002","0","","032","920","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1922","569.1","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1923","567.1","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-1923","567.2","Harappa","TAB:B","None","Faience","Y","R/L","+400-740-032-840+","4","negative_032_next_not_002","2","740","032","840","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-2010","729.2","Harappa","TAB:B","Bull1","Faience","Y","R/L","+740-482-240-002-861+","5","negative_002_y_prev_not_032","3","240","002","861","861","metadata_only","0","0","0","yes","no","yes","yes","6","","",""
"H-2011","937.2","Harappa","TAB:B","Bull1","Clay","Y","R/L","+740-482-240-002-861+","5","negative_002_y_prev_not_032","3","240","002","861","861","metadata_only","0","0","0","yes","no","yes","yes","6","","",""
"H-2015","402.2","Harappa","TAB:B","None","Clay","Y","L/R","+520-033-705-235-832-002-817+","7","negative_002_y_prev_not_032","5","832","002","817","817","metadata_only","0","0","0","yes","no","yes","yes","6","","",""
"H-2016","370.1","Harappa","TAB:B","None","Clay","Y","R/L","+317-740-335-740-176-002-920-491+","8","negative_002_y_prev_not_032","5","176","002","920","920","metadata_only","0","0","0","yes","no","yes","yes","6","","",""
"H-209","1240.2","Harappa","TAB:B","None","Faience","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-2108","640.2","Harappa","TAB:I","None","Steatite","Y","R/L","+400-740-032-014+","4","negative_032_next_not_002","2","740","032","014","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-2109","843.1","Harappa","TAB:I","None","Steatite","Y","R/L","+690-032-025+","3","negative_032_next_not_002","1","690","032","025","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
"H-2115","544.2","Harappa","TAB:I","None","Steatite","Y","R/L","+400-740-032-028+","4","negative_032_next_not_002","2","740","032","028","","metadata_only","0","0","0","yes","no","yes","no","6","","",""
