"triad_rank","target_bucket","contrast_readiness","triad_score","target_cisi","target_row_id","target_short_text","target_context_class","target_side_relation","target_long_token_set","target_hva_bins","target_source_hooks","target_material_shape","target_period_phase_depth","target_dimensions_mm","target_local_rows","control_033_cisi","control_033_row_id","control_033_score","control_033_short_text","control_033_context_class","control_033_side_relation","control_033_long_token_set","control_033_hva_bins","control_033_source_hooks","control_033_material_shape","control_033_period_phase_depth","control_033_dimensions_mm","control_033_local_rows","control_033_matches","control_033_mismatches","control_032_cisi","control_032_row_id","control_032_score","control_032_short_text","control_032_context_class","control_032_side_relation","control_032_long_token_set","control_032_hva_bins","control_032_source_hooks","control_032_material_shape","control_032_period_phase_depth","control_032_dimensions_mm","control_032_local_rows","control_032_matches","control_032_mismatches","source_request_bundle","triad_question","preserves_source_contrast_if","downgrades_to_object_format_if","kills_034_residue_if","source_check_status"
"77","E_other_034_residue","strong_two_sibling_metadata_controls","62","H-320","1342.2","+700-034+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","3173","Steatite/oval/rectangular","Period 3B/C/-/- -","14 x 7.6 x 0","1342.1:+520-240-000+;1342.2:+700-034+","H-927","1807.1","31","+700-033+","all_short_or_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","1172502","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-13.58 ft","14.5 x 7.6 x 0","1807.1:+700-033+;1807.2:+368-900+","type;sides;site;material;cross_section;symbol;area_section;h_bin;v_bin;area_bin;side_relation;order;long_token_set","shape:oval->rectangular;period_phase:Period 3B/C/-->Period 3B/C/Stratum V;aspect_bin:aspect_1p5_1p9->aspect_ge_1p9;context_class:single_short_no_longer_text->all_short_or_no_longer_text","H-1313","4081.2","31","+700-032+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_13_16/v_lt_7/area_80_120/aspect_ge_1p9","12574891","Steatite/elliptical/rectangular","Period 3B/C/Stratum V/-12 ft","15 x 6 x 1.5","4081.1:+740-840-000+;4081.2:+700-032+","type;sides;site;material;cross_section;symbol;area_section;h_bin;area_bin;context_class;side_relation;order;long_token_set","shape:oval->elliptical;period_phase:Period 3B/C/-->Period 3B/C/Stratum V;v_bin:v_7_8p5->v_lt_7;aspect_bin:aspect_1p5_1p9->aspect_ge_1p9","H-320: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 3173 | H-927: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 1172502 | H-1313: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 12574891","Does target H-320 +700-034+ remain visually distinct from matched 033 H-927 +700-033+ and matched 032 H-1313 +700-032+? After source direction and side-order checks, is the target's context (no_longer_text; NO_LONGER_TEXT) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"78","E_other_034_residue","strong_two_sibling_metadata_controls","61","H-985","1861.1","+700-034+","single_longer_text","short_before_all_longer","156;255;435","h_13_16/v_lt_7/area_80_120/aspect_ge_1p9","2528","-/prism/triangular","Period 3B/C/Stratum VI/-17.83 ft","15.2 x 6.4 x 0","1861.1:+700-034+;1861.2:+156-435-255+","H-356","1375.1","30","+700-033+","single_longer_text","short_before_all_longer","176;400;740","h_ge_16/v_lt_7/area_80_120/aspect_ge_1p9","2478","-/prism/triangular","Period 3B/C/Stratum VI/-16.42 ft","16 x 6 x 0","1375.1:+700-033+;1375.2:+400-740-176+","type;sides;site;shape;cross_section;area_section;period_phase;v_bin;area_bin;aspect_bin;context_class;side_relation;order","symbol:None->Bult;h_bin:h_13_16->h_ge_16;long_token_set:156;255;435->176;400;740","H-2211","829.1","31","+700-032+","single_longer_text","short_before_all_longer","032;700;741;840","h_13_16/v_lt_7/area_80_120/aspect_ge_1p9","H97-3285;Figure 16.02","Steatite/prism/triangular","Period 3B/C/B/C/- -","13.7 x 6 x 0","829.1:+700-032+;829.2:+700-840-032-741+","type;sides;site;shape;cross_section;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","symbol:None->Bult;area_section:FTrench III->ETrench 11;period_phase:Period 3B/C/Stratum VI->Period 3B/C/B/C;long_token_set:156;255;435->032;700;741;840","H-985: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2528 | H-356: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2478 | H-2211: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H97-3285; Figure 16.02","Does target H-985 +700-034+ remain visually distinct from matched 033 H-356 +700-033+ and matched 032 H-2211 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 156;255;435) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"79","E_other_034_residue","strong_two_sibling_metadata_controls","60","H-351","1370.2","+700-034+","single_longer_text","short_after_all_longer","013;032;060;400;740","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","2429581","Steatite/prism/triangular","Period 3B/C/Stratum VI/-18.42 ft","15.2 x 7.6 x 0","1370.1:+400-740-032-060-013+;1370.2:+700-034+","H-353","1372.2","31","+700-033+","single_longer_text","short_after_all_longer","176;400;740","h_13_16/v_lt_7/area_80_120/aspect_ge_1p9","1348","Steatite/prism/triangular","Period 3B/C/Stratum V/-13.0 ft","15.2 x 6.4 x 0","1372.1:+400-740-176+;1372.2:+700-033+","type;sides;site;material;shape;cross_section;h_bin;area_bin;aspect_bin;context_class;side_relation;order","symbol:X->Bult;area_section:FTrench III->FTrench I;period_phase:Period 3B/C/Stratum VI->Period 3B/C/Stratum V;v_bin:v_7_8p5->v_lt_7;long_token_set:013;032;060;400;740->176;400;740","H-1294","1061.2","29","+700-032+","single_longer_text","short_after_all_longer","233;527;550","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","PII-1499","Steatite/rectangular/rectangular","Period 4/Stratum I/-1.0 ft","15.2 x 7.6 x 0","1061.1:+527-550-233+;1061.2:+700-032+","type;sides;site;material;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","shape:prism->rectangular;cross_section:triangular->rectangular;symbol:X->None;area_section:FTrench III->AB-;period_phase:Period 3B/C/Stratum VI->Period 4/Stratum I;long_token_set:013;032;060;400;740->233;527;550","H-351: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2429581 | H-353: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 1348 | H-1294: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks PII-1499","Does target H-351 +700-034+ remain visually distinct from matched 033 H-353 +700-033+ and matched 032 H-1294 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 013;032;060;400;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"80","E_other_034_residue","strong_two_sibling_metadata_controls","60","H-1895","406.1","+700-034+","single_longer_text","short_before_all_longer","100;240;400;740","h_13_16/v_8p5_10/area_80_120/aspect_1p5_1p9","H2000-4457;Figure 39.03","Faience/oval/rectangular","Period 3B/C/B/C/- -","13.5 x 8.8 x 2","406.1:+700-034+;406.2:+400-740-100-240+","H-1898","419.1","31","+700-033+","single_longer_text","short_before_all_longer","368;400;741","h_13_16/v_lt_7/area_80_120/aspect_ge_1p9","H2000-4476;Figure 42.08","Faience/isosceles trapezoid/rectangular","Period 3B/C/B/C/- -","15 x 6.8 x 2.7","419.1:+700-033+;419.2:+400-368-741+","type;sides;site;material;cross_section;symbol;area_section;period_phase;excavation_prefix;h_bin;area_bin;context_class;side_relation;order","shape:oval->isosceles trapezoid;v_bin:v_8p5_10->v_lt_7;aspect_bin:aspect_1p5_1p9->aspect_ge_1p9;long_token_set:100;240;400;740->368;400;741","H-1902","922.1","29","+700-032+","single_longer_text","short_before_all_longer","003;158;494","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H98-3436;Figure 25.12","Faience/rectangular-notched/rectangular","Period 3/-/-0.0 m","14.1 x 8 x 2.5","922.1:+700-032+;922.2:+158-003-494+","type;sides;site;material;cross_section;symbol;h_bin;area_bin;aspect_bin;context_class;side_relation;order","shape:oval->rectangular-notched;period_phase:Period 3B/C/B/C->Period 3/-;excavation_prefix:H2000->H98;v_bin:v_8p5_10->v_7_8p5;long_token_set:100;240;400;740->003;158;494","H-1895: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2000-4457; Figure 39.03 | H-1898: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2000-4476; Figure 42.08 | H-1902: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H98-3436; Figure 25.12","Does target H-1895 +700-034+ remain visually distinct from matched 033 H-1898 +700-033+ and matched 032 H-1902 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 100;240;400;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"81","E_other_034_residue","strong_two_sibling_metadata_controls","60","H-1943","422.1","+700-034+","single_longer_text","short_before_all_longer","031;384;740","h_10_13/v_lt_7/area_80_120/aspect_ge_1p9","H2000-4482;Figure 42.10","Faience/prism/triangular","Period 3B/C/B/C/- -","12.8 x 6.6 x 0","422.1:+700-034+;422.2:+740-384-031+","H-1940","458.1","30","+700-033+","single_longer_text","short_before_all_longer","067;100;400;740","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","H2001-5072;Figure 44.05","Faience/prism/triangular","Period 3B/B/- -","15 x 7.5 x 0","458.1:+700-033+;458.2:+400-740-067-100+","type;sides;site;material;shape;cross_section;symbol;area_section;area_bin;aspect_bin;context_class;side_relation;order","period_phase:Period 3B/C/B/C->Period 3B/B;excavation_prefix:H2000->H2001;h_bin:h_10_13->h_13_16;v_bin:v_lt_7->v_7_8p5;long_token_set:031;384;740->067;100;400;740","H-854","1740.2","30","+700-032+","single_longer_text","short_after_all_longer","003;335;400;740","h_ge_16/v_lt_7/area_80_120/aspect_ge_1p9","10010647","Faience/prism/triangular","Period 3B/C/-/-10.0 ft","16.5 x 6.4 x 0","1740.1:+400-740-335-003+;1740.2:+700-032+","type;sides;site;material;shape;cross_section;symbol;v_bin;area_bin;aspect_bin;context_class;order","area_section:ETrench 54->F-;period_phase:Period 3B/C/B/C->Period 3B/C/-;h_bin:h_10_13->h_ge_16;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:031;384;740->003;335;400;740","H-1943: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2000-4482; Figure 42.10 | H-1940: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2001-5072; Figure 44.05 | H-854: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 10010647","Does target H-1943 +700-034+ remain visually distinct from matched 033 H-1940 +700-033+ and matched 032 H-854 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 031;384;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"82","E_other_034_residue","strong_two_sibling_metadata_controls","60","H-1987","394.1","+700-034+","single_longer_text","short_before_all_longer","004;371;390;455;590;741","h_ge_16/v_8p5_10/area_ge_180/aspect_ge_1p9","H2000-4426;Figure 39.07","Clay/rectangular/round","Period 3B/C/B/C/- -","23.2 x 9.2 x 7","394.1:+700-034+;394.2:+390-004-455-371-741-590+","H-1839","593.1","30","+700-033+","single_longer_text","short_before_all_longer","100;175;630;705;740","h_ge_16/v_8p5_10/area_ge_180/aspect_1p5_1p9","H95-2431;Figure 21.05","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","18.5 x 9.8 x 3.9","593.1:+700-033+;593.2:+740-100-175-630-705+","type;sides;site;shape;symbol;period_phase;h_bin;v_bin;area_bin;context_class;side_relation;order","material:Clay->Faience;cross_section:round->rectangular;area_section:ETrench 54->ETTrench 19;excavation_prefix:H2000->H95;aspect_bin:aspect_ge_1p9->aspect_1p5_1p9;long_token_set:004;371;390;455;590;741->100;175;630;705;740","H-1853","386.1","30","+700-032+","single_longer_text","short_before_all_longer","400;617;829","h_ge_16/v_ge_10/area_ge_180/aspect_ge_1p9","H2000-4395;Figure 39.01","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","20.5 x 10.5 x 2.5","386.1:+700-032+;386.2:+400-617-829+","type;sides;site;shape;symbol;area_section;period_phase;excavation_prefix;h_bin;area_bin;aspect_bin;context_class;side_relation;order","material:Clay->Faience;cross_section:round->rectangular;v_bin:v_8p5_10->v_ge_10;long_token_set:004;371;390;455;590;741->400;617;829","H-1987: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2000-4426; Figure 39.07 | H-1839: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H95-2431; Figure 21.05 | H-1853: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2000-4395; Figure 39.01","Does target H-1987 +700-034+ remain visually distinct from matched 033 H-1839 +700-033+ and matched 032 H-1853 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 004;371;390;455;590;741) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"83","E_other_034_residue","strong_two_sibling_metadata_controls","59","H-350","1369.2","+700-034+","single_longer_text","short_after_all_longer","240;642;690;740","h_ge_16/v_8p5_10/area_120_180/aspect_ge_1p9","3534a576","Steatite/prism/triangular","Period 3B/C/-/-10.0 ft","17.8 x 8.9 x 0","1369.1:+740-690-642-240+;1369.2:+700-034+","H-296","1318.2","31","+700-033+","single_longer_text","short_after_all_longer","017;400;575;740;920","h_ge_16/v_8p5_10/area_120_180/aspect_ge_1p9","12534457","Steatite/rectangular/rectangular","Period 3B/C/-/-10.0 ft","17.8 x 9.1 x 0","1318.1:+400-740-575-017-920+;1318.2:+700-033+","type;sides;site;material;area_section;period_phase;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","shape:prism->rectangular;cross_section:triangular->rectangular;symbol:Fish->None;long_token_set:240;642;690;740->017;400;575;740;920","H-943","1823.2","28","+700-032+","single_longer_text","short_after_all_longer","158;400;592","h_ge_16/v_8p5_10/area_120_180/aspect_1p5_1p9","3668461","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-13.0 ft","16.5 x 8.9 x 0","1823.1:+400-158-592+;1823.2:+700-032+","type;sides;site;material;h_bin;v_bin;area_bin;context_class;side_relation;order","shape:prism->rectangular;cross_section:triangular->rectangular;symbol:Fish->None;area_section:F-->FTrench I;period_phase:Period 3B/C/-->Period 3B/C/Stratum V;aspect_bin:aspect_ge_1p9->aspect_1p5_1p9;long_token_set:240;642;690;740->158;400;592","H-350: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 3534a576 | H-296: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 12534457 | H-943: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 3668461","Does target H-350 +700-034+ remain visually distinct from matched 033 H-296 +700-033+ and matched 032 H-943 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 240;642;690;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"84","E_other_034_residue","strong_two_sibling_metadata_controls","58","H-823","1712.1","+700-034+","single_longer_text","short_before_all_longer","060;240;636;692;740","h_ge_16/v_ge_10/area_ge_180/aspect_ge_1p9","H88-1196","-/rectangular/-","-/-/- -","23.5 x 11 x 0","1712.1:+700-034+;1712.2:+740-636-240-060-692+","H-206","1237.2","28","+700-033+","single_longer_text","short_after_all_longer","204;240;621;642;705;740","h_ge_16/v_ge_10/area_ge_180/aspect_ge_1p9","J462345","-/rectangular/rectangular","-/Stratum III/-6.17 ft","21.6 x 10.2 x 0","1237.1:+740-642-240-204-705-621+;1237.2:+700-033+","type;sides;site;shape;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;order","period_phase:-/-->-/Stratum III;excavation_prefix:H88->J;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:060;240;636;692;740->204;240;621;642;705;740","H-1853","386.1","30","+700-032+","single_longer_text","short_before_all_longer","400;617;829","h_ge_16/v_ge_10/area_ge_180/aspect_ge_1p9","H2000-4395;Figure 39.01","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","20.5 x 10.5 x 2.5","386.1:+700-032+;386.2:+400-617-829+","type;sides;site;shape;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","period_phase:-/-->Period 3B/C/B/C;excavation_prefix:H88->H2000;long_token_set:060;240;636;692;740->400;617;829","H-823: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H88-1196 | H-206: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks J462345 | H-1853: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2000-4395; Figure 39.01","Does target H-823 +700-034+ remain visually distinct from matched 033 H-206 +700-033+ and matched 032 H-1853 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 060;240;636;692;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"85","E_other_034_residue","strong_two_sibling_metadata_controls","58","H-2206","871.1","+700-034+","single_longer_text","short_before_all_longer","025;032;740","h_missing/v_7_8p5/area_missing/aspect_missing","H97-3334;Figure 15.05","Steatite/prism/triangular","Period 3/-/- -","0 x 7 x 0","871.1:+700-034+;871.2:+740-032-025+","H-1347","4088.2","32","+700-033+","single_longer_text","short_after_all_longer","176;400;740","h_missing/v_7_8p5/area_missing/aspect_missing","1262896","Steatite/prism/triangular","Period 3B/C/Stratum V/- -","0 x 7.6 x 0","4088.1:+400-740-176+;4088.2:+700-033+","type;sides;site;material;shape;cross_section;h_bin;v_bin;area_bin;aspect_bin;context_class;order","symbol:Fish->Bult;area_section:ETrench 11->FTrench I;period_phase:Period 3/-->Period 3B/C/Stratum V;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:025;032;740->176;400;740","H-2201","753.1","26","+700-032+","single_longer_text","short_before_all_longer","176;240;400;740","h_13_16/v_lt_7/area_lt_80/aspect_ge_1p9","H96-2781;Figure 20.08","Steatite/prism/triangular","Period 3B/C/B/C/- -","15.8 x 4.8 x 0","753.1:+700-032+;753.2:+400-740-176-240+","type;sides;site;material;shape;cross_section;symbol;area_section;context_class;side_relation;order","period_phase:Period 3/-->Period 3B/C/B/C;excavation_prefix:H97->H96;h_bin:h_missing->h_13_16;v_bin:v_7_8p5->v_lt_7;area_bin:area_missing->area_lt_80;aspect_bin:aspect_missing->aspect_ge_1p9;long_token_set:025;032;740->176;240;400;740","H-2206: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H97-3334; Figure 15.05 | H-1347: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 1262896 | H-2201: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H96-2781; Figure 20.08","Does target H-2206 +700-034+ remain visually distinct from matched 033 H-1347 +700-033+ and matched 032 H-2201 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 025;032;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"86","E_other_034_residue","strong_two_sibling_metadata_controls","57","H-1120","3968.2","+700-034+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_ge_16/v_7_8p5/area_120_180/aspect_ge_1p9","13968155","-/rectangular/-","-/-/- -","16 x 8 x 0","3968.1:+740-000-000-705+;3968.2:+700-034+","H-891","1773.1","28","+700-033+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_ge_16/v_7_8p5/area_120_180/aspect_ge_1p9","9057","Steatite/rectangular/rectangular","Period 3C-1/Stratum IV/-9.0 ft","16.5 x 7.6 x 0","1773.1:+700-033+;1773.2:+400-740-590-017-000+","sides;site;shape;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order;long_token_set","type:TAB:B->TAB:I;period_phase:-/-->Period 3C-1/Stratum IV","H-779","1670.1","29","+032-700+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_ge_16/v_8p5_10/area_120_180/aspect_ge_1p9","H86-02","-/rectangular/-","-/-/- -","17.5 x 9 x 0","1670.1:+032-700+;1670.2:+000-000-740-233-240+","type;sides;site;shape;symbol;period_phase;h_bin;area_bin;aspect_bin;context_class;side_relation;long_token_set","v_bin:v_7_8p5->v_8p5_10;order:700_first->700_last","H-1120: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 13968155 | H-891: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 9057 | H-779: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H86-02","Does target H-1120 +700-034+ remain visually distinct from matched 033 H-891 +700-033+ and matched 032 H-779 +032-700+? After source direction and side-order checks, is the target's context (no_longer_text; NO_LONGER_TEXT) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
