"independence_rank","original_triad_rank","target_cisi","target_row_id","target_short_text","target_bucket","evidence_tier","independence_score","triad_score","contrast_readiness","target_long_token_set","target_long_set_count","acquisition_family_count","target_source_prefix","target_source_prefix_count","source_gap_status","target_hook_grade","control_033_cisi","control_033_reuse_count","control_033_hook_grade","control_032_cisi","control_032_reuse_count","control_032_hook_grade","object_format_match_status","direction_risk","copy_family_pressure","source_prefix_pressure","control_reuse_pressure","priority_reason","next_source_action","source_check_status"
"81","34","H-317","1339.2","+700-034+","B_034_400_740_176_bridge","C_repeated_target_family_pressure","80","67","strong_two_sibling_metadata_controls","176;400;740","9","7","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-935","3","catalog_or_excavation_hook","H-1312","1","catalog_or_excavation_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_9;acquisition_sequence_family_7","source_prefix_seen_35","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=9; source_prefix=numeric_catalog/35; control_reuse_max=3; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"82","89","H-215","1246.1","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","79","54","strong_032_control_only","NO_LONGER_TEXT","28","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-812","1","catalog_or_excavation_hook","H-779","2","catalog_or_excavation_hook","target_matches_one_control","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_35","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=numeric_catalog/35; control_reuse_max=2; object_format=target_matches_one_control","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"83","17","H-1830","773.1","+700-034+","A_034_no_longer_small_object","C_repeated_target_family_pressure","77","55","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","2","H96","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-1861","3","excavation_plus_figure_hook","H-1156","3","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_9","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=H96/9; control_reuse_max=3; object_format=target_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"84","35","H-1273","265.2","+700-034+","B_034_400_740_176_bridge","C_repeated_target_family_pressure","77","67","strong_two_sibling_metadata_controls","176;400;740","9","7","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-900","2","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","repeated_target_long_set_9;acquisition_sequence_family_7","source_prefix_seen_35","032_control_reused_16","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=9; source_prefix=numeric_catalog/35; control_reuse_max=16; object_format=target_and_both_controls_match","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"85","68","H-1284","4069.2","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","77","64","strong_two_sibling_metadata_controls","220;415;520","4","2","other_source_prefix","2","all_three_have_source_hooks","catalog_or_excavation_hook","H-925","9","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","repeated_target_long_set_4","no_extra_pressure_flag","033_control_reused_9;032_control_reused_16","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=4; source_prefix=other_source_prefix/2; control_reuse_max=16; object_format=target_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"86","77","H-320","1342.2","+700-034+","E_other_034_residue","C_repeated_target_family_pressure","77","62","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-927","2","catalog_or_excavation_hook","H-1313","4","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_35","032_control_reused_4","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=28; source_prefix=numeric_catalog/35; control_reuse_max=4; object_format=target_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"87","29","H-933","1813.1","+034-700+","A_034_direction_reversal","C_repeated_target_family_pressure","76","55","strong_two_sibling_metadata_controls","176;400;740","9","1","G","2","all_three_have_source_hooks","catalog_or_excavation_hook","H-924","2","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_matches_one_control","target_700_order_reversed","repeated_target_long_set_9","no_extra_pressure_flag","032_control_reused_16","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=9; source_prefix=G/2; control_reuse_max=16; object_format=target_matches_one_control; direction=target_700_order_reversed","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"88","37","H-936","1816.2","+700-034+","B_034_400_740_176_bridge","C_repeated_target_family_pressure","70","65","strong_two_sibling_metadata_controls","176;400;740","9","7","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-309","1","catalog_or_excavation_hook","H-315","3","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","repeated_target_long_set_9;acquisition_sequence_family_7","source_prefix_seen_35","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=9; source_prefix=numeric_catalog/35; control_reuse_max=3; object_format=target_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"89","33","H-312","1334.2","+700-034+","B_034_400_740_176_bridge","C_repeated_target_family_pressure","63","68","strong_two_sibling_metadata_controls","176;400;740","9","7","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-1303","3","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","repeated_target_long_set_9;acquisition_sequence_family_7","source_prefix_seen_35","032_control_reused_16","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=9; source_prefix=numeric_catalog/35; control_reuse_max=16; object_format=target_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"90","5","H-2095","518.1","+700-034+","A_034_002_861_416_companion","C_repeated_target_family_pressure","62","52","strong_032_control_only","002;416;861","5","3","H90","4","all_three_have_source_hooks","excavation_plus_figure_hook","H-2125","1","excavation_plus_figure_hook","H-1309","1","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","repeated_target_long_set_5;acquisition_sequence_family_3","source_prefix_seen_4","no_extra_pressure_flag","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=5; source_prefix=H90/4; control_reuse_max=1; object_format=target_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"91","4","H-2096","665.1","+700-034+","A_034_002_861_416_companion","C_repeated_target_family_pressure","59","56","strong_two_sibling_metadata_controls","002;416;861","5","3","H95","9","all_three_have_source_hooks","catalog_or_excavation_hook","H-924","2","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_matches_one_control","target_side_relation_differs_from_both_controls","repeated_target_long_set_5;acquisition_sequence_family_3","source_prefix_seen_9","032_control_reused_16","tier=C_repeated_target_family_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=5; source_prefix=H95/9; control_reuse_max=16; object_format=target_matches_one_control; direction=target_side_relation_differs_from_both_controls","request_one_representative_then_seek_independent_target","independence_audit_source_order_only_no_reading_claims"
"92","90","H-297","1319.2","+700-034+","E_other_034_residue","D_source_hook_gap","109","53","strong_032_control_only","151;336;400;630;706","1","1","no_source_prefix","1","target_source_hook_missing","missing_source_hook","H-216","1","missing_source_hook","H-943","2","catalog_or_excavation_hook","target_matches_one_control","no_extra_direction_flag","no_extra_pressure_flag","no_extra_pressure_flag","no_extra_pressure_flag","tier=D_source_hook_gap; source_hooks=target_source_hook_missing; target_long_set_count=1; source_prefix=no_source_prefix/1; control_reuse_max=2; object_format=target_matches_one_control","fill_missing_source_hook_before_archive_request","independence_audit_source_order_only_no_reading_claims"
"93","76","H-1982","690.1","+700-034+","E_other_034_residue","D_source_hook_gap","81","63","strong_two_sibling_metadata_controls","NO_LONGER_TEXT","28","1","H95","9","control_source_hook_missing","excavation_plus_figure_hook","H-827","1","missing_source_hook","H-717","1","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","repeated_target_long_set_28","source_prefix_seen_9","no_extra_pressure_flag","tier=D_source_hook_gap; source_hooks=control_source_hook_missing; target_long_set_count=28; source_prefix=H95/9; control_reuse_max=1; object_format=target_differs_from_both_controls","fill_missing_source_hook_before_archive_request","independence_audit_source_order_only_no_reading_claims"
