"row_index_1based","sign_token_count","gap_position_0based","target_sign","left_context","right_context","ivc_p95_length_eligible","exact_sequence_count","original_sequence","gapped_sequence"
"355","8","0","na","<s>","wi","true","1","na-wi-ro pa-i-to OVIS:m OVIS:f","*-wi-ro pa-i-to OVIS:m OVIS:f"
"356","11","0","o","<s>","ki","false","1","o-ki-ro pa-i-to we-we-si-jo-jo","*-ki-ro pa-i-to we-we-si-jo-jo"
"357","8","0","o","<s>","ra","true","1","o-ra do-ti-ja a-te-jo","*-ra do-ti-ja a-te-jo"
"358","9","0","o","<s>","na","false","1","o-na-jo tu-ni-ja OVIS:m OVIS:f paOVIS:m","*-na-jo tu-ni-ja OVIS:m OVIS:f paOVIS:m"
"359","9","1","nwa","qi","so","false","1","qi-nwa-so da-wo ki-ri-jo-te","qi-*-so da-wo ki-ri-jo-te"
"360","7","6","OVIS:m","so","</s>","true","1","ta-*49-ro pu-na-so OVIS:m","ta-*49-ro pu-na-so *"
"361","8","5","OVIS:m","to","OVIS:f","true","1","u-ta-no ra-to OVIS:m OVIS:f paOVIS:m","u-ta-no ra-to * OVIS:f paOVIS:m"
"362","8","6","OVIS:m","ra","OVIS:f","true","1","we-wa-do-ro qa-ra OVIS:m OVIS:f","we-wa-do-ro qa-ra * OVIS:f"
"363","7","4","OVIS:m","to","OVIS:f","true","1","te-mi ra-to OVIS:m OVIS:f peOVIS:m","te-mi ra-to * OVIS:f peOVIS:m"
"364","10","3","e","to","ko","false","1","ta-na-to e-ko-so u-ta-jo-jo","ta-na-to *-ko-so u-ta-jo-jo"
"365","7","3","e","to","ko","true","1","ka-ni-to e-ko-so kiOVIS:m","ka-ni-to *-ko-so kiOVIS:m"
"366","11","0","a","<s>","te","false","1","a-te-mo ku-ta-to we-we-si-jo-jo","*-te-mo ku-ta-to we-we-si-jo-jo"
"367","6","4","OVIS:m","jo","oOVIS:m","true","1","da-mi-ni-jo OVIS:m oOVIS:m","da-mi-ni-jo * oOVIS:m"
"368","7","1","ka","di","ta","true","1","di-ka-ta-ro su-ri-mo","di-*-ta-ro su-ri-mo"
"369","5","1","we","de","ra","true","1","de-we-ra ra-to","de-*-ra ra-to"
"370","3","1","ro","wo","to","true","1","wo-ro-to","wo-*-to"
"371","10","1","da","ka","i","false","1","ka-da-i-so do-ti-ja OVIS:m OVIS:f oOVIS:m","ka-*-i-so do-ti-ja OVIS:m OVIS:f oOVIS:m"
"372","9","1","di","ta","*22","false","1","ta-di-*22-so qa-ra OVIS:m OVIS:f oOVIS:m","ta-*-*22-so qa-ra OVIS:m OVIS:f oOVIS:m"
"373","4","1","ni","tu","ja","true","1","tu-ni-ja OVIS:m","tu-*-ja OVIS:m"
"374","3","1","ro","po","ko","true","1","po-ro-ko","po-*-ko"
"375","7","1","ma","sa","ja","true","1","sa-ma-ja-so tu-ni-ja","sa-*-ja-so tu-ni-ja"
"376","10","1","se","i","we","false","1","i-se-we-ri-jo e-ra OVIS:m OVIS:f paOVIS:m","i-*-we-ri-jo e-ra OVIS:m OVIS:f paOVIS:m"
"377","9","1","na","da","ro","false","1","da-na-ro pa-i-to OVIS:m OVIS:f paOVIS:m","da-*-ro pa-i-to OVIS:m OVIS:f paOVIS:m"
"378","9","1","ko","*56","we","false","1","*56-ko-we-i e-ka-ra-e-we","*56-*-we-i e-ka-ra-e-we"
"379","6","2","we","ko","OVIS:m","true","1","*56-ko-we OVIS:m OVIS:f peOVIS:m","*56-ko-* OVIS:m OVIS:f peOVIS:m"
"380","8","2","ta","a","*56","true","1","de-a-ta *56-ko-we OVIS:m peOVIS:m","de-a-* *56-ko-we OVIS:m peOVIS:m"
"381","5","2","ra","se","to","true","1","su-se ra-to OVIS:m","su-se *-to OVIS:m"
"382","7","2","ne","ra","ku","true","1","wi-ra-ne ku-ta-to OVIS:m","wi-ra-* ku-ta-to OVIS:m"
"383","6","2","ro","ka","pu","true","1","po-ka-ro pu-so OVIS:m","po-ka-* pu-so OVIS:m"
"384","5","2","su","so","ri","true","1","ta-so su-ri-mo","ta-so *-ri-mo"
"385","10","2","wo","ta","da","false","1","ka-ta-wo da-mi-ni-jo OVIS:m LANA oLANA","ka-ta-* da-mi-ni-jo OVIS:m LANA oLANA"
"386","8","2","mo","nu","ki","true","1","a-nu-mo ki-ri-jo-te OVIS:m","a-nu-* ki-ri-jo-te OVIS:m"
"387","8","2","wa","ke","ta","true","1","a3-ke-wa-ta ri-jo-no OVIS:m","a3-ke-*-ta ri-jo-no OVIS:m"
"388","7","2","ra","jo","to","true","1","ku-jo ra-to OVIS:m OVIS:f peOVIS:m","ku-jo *-to OVIS:m OVIS:f peOVIS:m"
"389","7","2","ja","na","ra","true","1","o-na-ja ra-to OVIS:m OVIS:f","o-na-* ra-to OVIS:m OVIS:f"
"390","8","2","to","su","ki","true","1","ra-su-to ki-ri-jo-te OVIS:m","ra-su-* ki-ri-jo-te OVIS:m"
"391","7","0","ku","<s>","i","true","1","ku-i-so ri-jo-no OVIS:m","*-i-so ri-jo-no OVIS:m"
"392","7","0","pi","<s>","ki","true","1","pi-ki-nu-wo ra-to OVIS:m","*-ki-nu-wo ra-to OVIS:m"
"393","6","0","ze","<s>","ro","true","1","ze-ro e-ko-so OVIS:m","*-ro e-ko-so OVIS:m"
"394","6","0","ta","<s>","za","true","1","ta-za su-ri-mo OVIS:m","*-za su-ri-mo OVIS:m"
"395","11","0","a","<s>","da","false","1","a-da-ra-ro da-wo ki-ri-jo-te OVIS:m","*-da-ra-ro da-wo ki-ri-jo-te OVIS:m"
"396","5","0","a","<s>","pa","true","1","a-pa-ni-jo OVIS:m","*-pa-ni-jo OVIS:m"
"397","9","0","e","<s>","ko","false","1","e-ko-so e-ka-ra-e-we OVIS:m","*-ko-so e-ka-ra-e-we OVIS:m"
"398","7","0","wo","<s>","wo","true","1","wo-wo ku-ta-to OVIS:m paOVIS:m","*-wo ku-ta-to OVIS:m paOVIS:m"
"399","6","0","*49","<s>","wo","true","1","*49-wo ra-to OVIS:m OVIS:f","*-wo ra-to OVIS:m OVIS:f"
"400","7","0","a","<s>","*56","true","1","a-*56-no su-ki-ri-ta","*-*56-no su-ki-ri-ta"
"401","8","3","ro","u","ku","true","1","ma-ta-u-ro ku-ta-to OVIS:m","ma-ta-u-* ku-ta-to OVIS:m"
"402","7","2","jo","ro","pu","true","1","wi-ro-jo pu-na-so OVIS:m","wi-ro-* pu-na-so OVIS:m"
"403","4","2","to","ta","OVIS:m","true","1","ku-ta-to OVIS:m","ku-ta-* OVIS:m"
"404","13","1","to","ra","e","false","1","ra-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m","ra-* e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m"
"405","4","3","ta","je","</s>","true","1","a-pi-je-ta","a-pi-je-*"
"406","3","1","wo","da","OVIS:m","true","3","da-wo OVIS:m","da-* OVIS:m"
"407","3","1","so","pu","OVIS:m","true","5","pu-so OVIS:m","pu-* OVIS:m"
"408","7","2","to","ka","ra","true","1","a-ka-to ra-to OVIS:m OVIS:f","a-ka-* ra-to OVIS:m OVIS:f"
"409","3","1","so","pu","OVIS:m","true","5","pu-so OVIS:m","pu-* OVIS:m"
"410","4","2","to","ki","OVIS:m","true","3","ru-ki-to OVIS:m","ru-ki-* OVIS:m"
"411","6","2","ja","ni","OVIS:m","true","1","tu-ni-ja OVIS:m OVIS:f peOVIS:m","tu-ni-* OVIS:m OVIS:f peOVIS:m"
"412","4","3","so","i","</s>","true","1","qa-ra-i-so","qa-ra-i-*"
"413","2","1","to","ka","</s>","true","1","ka-to","ka-*"
"414","7","3","ra","re","su","true","1","me-to-re ra-su-to OVIS:m","me-to-re *-su-to OVIS:m"
"415","11","2","e","*18","ko","false","1","ko-*18 e-ko-so u-ta-jo-jo OVIS:m OVIS:f","ko-*18 *-ko-so u-ta-jo-jo OVIS:m OVIS:f"
"416","5","2","da","zo","wo","true","1","sa-zo da-wo OVIS:m","sa-zo *-wo OVIS:m"
"417","6","3","ku","jo","ta","true","1","wo-ti-jo ku-ta-to","wo-ti-jo *-ta-to"
"418","3","0","pu","<s>","so","true","5","pu-so OVIS:m","*-so OVIS:m"
"419","8","2","pe","ja","ri","true","1","ra-ja pe-ri-qo-te-jo OVIS:m","ra-ja *-ri-qo-te-jo OVIS:m"
"420","4","0","ru","<s>","ki","true","3","ru-ki-to OVIS:m","*-ki-to OVIS:m"
"421","3","0","pu","<s>","so","true","5","pu-so OVIS:m","*-so OVIS:m"
"422","3","0","a","<s>","ka","true","3","a-ka OVIS:m","*-ka OVIS:m"
"423","11","5","a3","we","mi","false","1","e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m","e-ka-ra-e-we *-mi-re-we OVIS:m OVIS:m"
"424","10","3","u","mo","ta","false","1","su-ri-mo u-ta-jo-jo OVIS:m OVIS:f oOVIS:m","su-ri-mo *-ta-jo-jo OVIS:m OVIS:f oOVIS:m"
"425","6","0","su","<s>","ri","true","1","su-ri-mo OVIS:m OVIS:f paOVIS:m","*-ri-mo OVIS:m OVIS:f paOVIS:m"
"426","7","2","ku","ti","ta","true","1","ko-ti ku-ta-to OVIS:m OVIS:f","ko-ti *-ta-to OVIS:m OVIS:f"
"427","3","0","a","<s>","ka","true","3","a-ka OVIS:m","*-ka OVIS:m"
"428","7","3","ra","jo","su","true","1","u-ra-jo ra-su-to OVIS:m","u-ra-jo *-su-to OVIS:m"
"429","6","2","ra","ro2","to","true","1","u-ro2 ra-to OVIS:m OVIS:f","u-ro2 *-to OVIS:m OVIS:f"
"430","6","0","su","<s>","ri","true","1","su-ri-mo OVIS:m OVIS:f peOVIS:m","*-ri-mo OVIS:m OVIS:f peOVIS:m"
"431","6","2","ko","sa","no","true","1","to-sa ko-no-si-ja","to-sa *-no-si-ja"
"432","8","3","a","ja","di","true","1","tu-ni-ja a-di-je-wo OVIS:m","tu-ni-ja *-di-je-wo OVIS:m"
"433","4","2","no","ta","OVIS:m","true","2","u-ta-no OVIS:m","u-ta-* OVIS:m"
"434","3","1","mo","qa","OVIS:m","true","2","qa-mo OVIS:m","qa-* OVIS:m"
"435","7","3","jo","ni","OVIS:m","true","1","da-mi-ni-jo OVIS:m LANA oLANA","da-mi-ni-* OVIS:m LANA oLANA"
"436","4","2","to","ri","OVIS:m","true","2","ti-ri-to OVIS:m","ti-ri-* OVIS:m"
"437","8","2","ja","ni","u","true","1","tu-ni-ja u-ta-jo-jo OVIS:m","tu-ni-* u-ta-jo-jo OVIS:m"
"438","8","2","so","da","ru","true","1","pu-da-so ru-ki-to OVIS:m peOVIS:m","pu-da-* ru-ki-to OVIS:m peOVIS:m"
"439","4","1","ra","e","OVIS:m","true","1","e-ra OVIS:m OVIS:f","e-* OVIS:m OVIS:f"
"440","11","1","ro","to","se","false","1","to-ro se-to-i-ja a-te-jo OVIS:m oOVIS:m","to-* se-to-i-ja a-te-jo OVIS:m oOVIS:m"
"441","8","3","jo","pi","ru","true","1","si-ri-pi-jo ru-ki-to OVIS:m","si-ri-pi-* ru-ki-to OVIS:m"
"442","9","1","ri","pu","e","false","1","pu-ri e-ra u-ta-jo-jo OVIS:m","pu-* e-ra u-ta-jo-jo OVIS:m"
"443","5","3","jo","jo","OVIS:m","true","1","u-ta-jo-jo OVIS:m","u-ta-jo-* OVIS:m"
"444","3","2","jo","na","</s>","true","1","wi-na-jo","wi-na-*"
"445","5","0","*56","<s>","ko","true","1","*56-ko-we OVIS:m peOVIS:m","*-ko-we OVIS:m peOVIS:m"
"446","11","0","su","<s>","po","false","1","su-po *56-ko-we ki-ri-jo-te OVIS:m oOVIS:m","*-po *56-ko-we ki-ri-jo-te OVIS:m oOVIS:m"
"447","6","0","pe","<s>","ri","true","1","pe-ri-mo da-wo OVIS:m","*-ri-mo da-wo OVIS:m"
"448","3","0","u","<s>","ta","true","1","u-ta-jo","*-ta-jo"
"449","11","0","je","<s>","zo","false","1","je-zo da-ra-ko we-we-si-jo OVIS:m oOVIS:m","*-zo da-ra-ko we-we-si-jo OVIS:m oOVIS:m"
"450","6","0","ri","<s>","jo","true","1","ri-jo-no OVIS:m OVIS:f peOVIS:m","*-jo-no OVIS:m OVIS:f peOVIS:m"
"451","3","0","pu","<s>","so","true","5","pu-so OVIS:m","*-so OVIS:m"
"452","6","0","no","<s>","sa","true","1","no-sa-ro e-ko-so","*-sa-ro e-ko-so"
"453","14","0","pe","<s>","po","false","1","pe-po-ro ri-jo-no pe-ri-qo-te-jo OVIS:m OVIS:f oOVIS:m","*-po-ro ri-jo-no pe-ri-qo-te-jo OVIS:m OVIS:f oOVIS:m"
"454","6","0","a3","<s>","to","true","1","a3-to ri-jo-no OVIS:m","*-to ri-jo-no OVIS:m"
"455","8","7","OVIS:f","no","</s>","true","1","ka-ra-u-ko u-ta-no OVIS:f","ka-ra-u-ko u-ta-no *"
"456","7","2","so","ko","OVIS:f","true","2","e-ko-so OVIS:f WE kiOVIS:m okiOVIS:m","e-ko-* OVIS:f WE kiOVIS:m okiOVIS:m"
"457","4","2","to","*22","OVIS:m","true","2","da-*22-to OVIS:m","da-*22-* OVIS:m"
"458","8","4","ja","ra","OVIS:m","true","1","a-ke-u ra-ja OVIS:m OVIS:f OVIS:m","a-ke-u ra-* OVIS:m OVIS:f OVIS:m"
"459","6","4","ko","pe","OVIS:m","true","1","ti-ri-to pe-ko OVIS:m","ti-ri-to pe-* OVIS:m"
"460","4","3","OVIS:f","OVIS:m","</s>","true","2","da-wo OVIS:m OVIS:f","da-wo OVIS:m *"
"461","9","7","te","jo","OVIS:m","false","1","u-ta-jo-jo ki-ri-jo-te OVIS:m","u-ta-jo-jo ki-ri-jo-* OVIS:m"
"462","4","2","we","ko","OVIS:m","true","1","*56-ko-we OVIS:m","*56-ko-* OVIS:m"
"463","4","2","no","ta","kiOVIS:m","true","1","u-ta-no kiOVIS:m","u-ta-* kiOVIS:m"
"464","8","4","OVIS:f","jo","LANA","true","1","sa-qa-re-jo OVIS:f LANA kiOVIS:m oLANA","sa-qa-re-jo * LANA kiOVIS:m oLANA"
"465","8","5","jo","ti","OVIS:m","true","1","a-te-jo do-ti-jo OVIS:m LANA","a-te-jo do-ti-* OVIS:m LANA"
"466","11","9","OVIS:f","jo","okiOVIS:m","false","1","a-ko-ro ra-ja sa-qa-re-jo OVIS:f okiOVIS:m","a-ko-ro ra-ja sa-qa-re-jo * okiOVIS:m"
"467","11","9","OVIS:f","jo","okiOVIS:m","false","1","ka-ru-no po-ti-ni-ja-we-jo OVIS:f okiOVIS:m","ka-ru-no po-ti-ni-ja-we-jo * okiOVIS:m"
"468","9","6","to","we","OVIS:m","false","1","e-ko-so ko-ma-we-to OVIS:m oOVIS:m","e-ko-so ko-ma-we-* OVIS:m oOVIS:m"
"469","5","4","OVIS:f","OVIS:m","</s>","true","1","ti-ri-to OVIS:m OVIS:f","ti-ri-to OVIS:m *"
"470","6","5","OVIS:f","OVIS:m","</s>","true","2","qa-na-no-to OVIS:m OVIS:f","qa-na-no-to OVIS:m *"
"471","9","7","OVIS:f","OVIS:m","oOVIS:m","false","1","e-ra u-ta-jo-jo OVIS:m OVIS:f oOVIS:m","e-ra u-ta-jo-jo OVIS:m * oOVIS:m"
"472","5","0","da","<s>","mi","true","1","da-mi-ni-jo OVIS:m","*-mi-ni-jo OVIS:m"
"473","3","0","da","<s>","wo","true","3","da-wo OVIS:m","*-wo OVIS:m"
"474","6","0","ta","<s>","ja","true","1","ta-ja-no e-ko-so","*-ja-no e-ko-so"
"475","14","1","wa","te","jo","false","1","te-wa-jo si-ja-du-we po-ti-ni-ja-we-jo OVIS:f","te-*-jo si-ja-du-we po-ti-ni-ja-we-jo OVIS:f"
"476","11","1","di","a","ri","false","1","a-di-ri-jo ka-to-ro se-to-i-ja","a-*-ri-jo ka-to-ro se-to-i-ja"
"477","5","1","jo","te","e","true","1","te-jo e-ko-so","te-* e-ko-so"
"478","3","2","to","da","</s>","true","1","ru-da-to","ru-da-*"
"479","10","2","mo","so","e","false","1","ma-so-mo e-se-re-e-jo OVIS:f okiOVIS:m","ma-so-* e-se-re-e-jo OVIS:f okiOVIS:m"
"480","3","2","OVIS:m","ka","</s>","true","3","a-ka OVIS:m","a-ka *"
"481","6","3","nwa","si","po","true","1","pe-ru-si-nwa po-ka","pe-ru-si-* po-ka"
"482","7","3","ja","ni","we","true","1","po-ti-ni-ja-we-i-jo","po-ti-ni-*-we-i-jo"
"483","7","3","wi","to","jo","true","1","pa-i-to wi-jo-qo-ta","pa-i-to *-jo-qo-ta"
"484","6","3","ru","to","ki","true","1","wo-ro-to ru-ki-to","wo-ro-to *-ki-to"
"485","4","3","jo","si","</s>","true","1","ta-we-si-jo","ta-we-si-*"
"486","7","5","OVIS:m","ko","paOVIS:m","true","1","ru-ki-to pe-ko OVIS:m paOVIS:m","ru-ki-to pe-ko * paOVIS:m"
"487","4","0","da","<s>","te","true","1","da-te-we-ja","*-te-we-ja"
"488","5","0","pa","<s>","re","true","1","pa-re e-ko-so","*-re e-ko-so"
"489","11","10","OVIS:m","jo","</s>","false","1","ta-i-po pa-i-to we-we-si-jo OVIS:m","ta-i-po pa-i-to we-we-si-jo *"
"490","4","0","e","<s>","ko","true","2","e-ko-so OVIS:m","*-ko-so OVIS:m"
"491","8","7","OVIS:m","jo","</s>","true","1","a-nu-ko da-mi-ni-jo OVIS:m","a-nu-ko da-mi-ni-jo *"
"492","4","1","na","qa","no","true","2","qa-na-no-to","qa-*-no-to"
"493","7","1","ja","pa","so","true","1","pa-ja-so ra-ja OVIS:m OVIS","pa-*-so ra-ja OVIS:m OVIS"
"494","3","1","wo","da","OVIS:f","true","1","da-wo OVIS:f","da-* OVIS:f"
"495","9","1","sa","qa","ro","false","1","qa-sa-ro-we pe-ri-qo-ta-o","qa-*-ro-we pe-ri-qo-ta-o"
"496","7","1","ra","si","ko","true","1","si-ra-ko ra-ja OVIS:m OVIS:f","si-*-ko ra-ja OVIS:m OVIS:f"
"497","7","1","to","du","ru","true","1","du-to ru-ki-to OVIS:m peOVIS:m","du-* ru-ki-to OVIS:m peOVIS:m"
"498","4","1","ri","tu","so","true","1","tu-ri-so OVIS:m","tu-*-so OVIS:m"
"499","2","0","e","<s>","ra","true","1","e-ra","*-ra"
"500","4","0","ki","<s>","ri","true","1","ki-ri-jo-te","*-ri-jo-te"
"501","4","0","ru","<s>","ki","true","3","ru-ki-to OVIS:m","*-ki-to OVIS:m"
"502","4","0","ko","<s>","ma","true","2","ko-ma-we-to","*-ma-we-to"
"503","4","0","qa","<s>","na","true","2","qa-na-no-to","*-na-no-to"
"504","3","0","qa","<s>","mo","true","2","qa-mo OVIS:m","*-mo OVIS:m"
"505","5","3","jo","jo","OVIS:f","true","1","u-ta-jo-jo OVIS:f","u-ta-jo-* OVIS:f"
"506","6","3","to","no","OVIS:m","true","2","qa-na-no-to OVIS:m OVIS:f","qa-na-no-* OVIS:m OVIS:f"
"507","3","2","to","i","</s>","true","1","pa-i-to","pa-i-*"
"508","3","2","ja","ti","</s>","true","1","do-ti-ja","do-ti-*"
"509","2","1","ra","qa","</s>","true","1","qa-ra","qa-*"
"510","3","2","ja","ni","</s>","true","1","tu-ni-ja","tu-ni-*"
"511","4","3","to","we","</s>","true","2","ko-ma-we-to","ko-ma-we-*"
"512","8","3","ja","ni","we","true","1","po-ti-ni-ja-we-jo OVIS:f okiOVIS:m","po-ti-ni-*-we-jo OVIS:f okiOVIS:m"
"513","4","2","ta","u","ro","true","1","da-u-ta-ro","da-u-*-ro"
