object,site,region,type,material,shape,symbol,condition,complete,constraint_statuses,text
M-1913,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,?,002_before_817:pass,]416-002-817+
M-1750,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,002_before_861:pass,+390-004-002-861+
M-1752,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-760-019-002-817+
M-595,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-100-415-176-002-820+
M-2107,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Good,Y,400_before_740:pass,+400-740-840-013-240+
M-1903,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Fair,Y,740_before_861:pass,+740-861-125+
-:2489.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:V,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-390-590-002-817+
M-1667,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-690-435-255-220-032-002-717-820+
M-1716,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,002_before_820:pass,+520-220-240-803-002-820+
M-1833,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,002_before_861:pass,+390-015-002-861+
M-1851,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,740_before_002:pass;740_before_820:pass;002_before_820:pass,+832-390-032/000-032-740-002-820+
M-1524,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,407_before_806:pass,+407-585-033-705-233-235-806+
M-1662,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,002_before_817:pass,+520-033-706-233-002-817-192-000+
M-1961,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Poor,Y,002_before_817:pass,+406-072-002-817+
M-7,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+407-845-140-740-101-923-240-002-861+
M-10,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,806_before_002:pass,+405-061-070-032-033-706-235-806-002-267-455+
M-12,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fine,Y,740_before_002:pass,+740-390-590-233-002-368-202-892-371+
M-14,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fine,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-776-503-002-817+
M-15,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+090-740-176-002-861+
M-19,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,002_before_861:pass,]000-000-002-861+
M-20,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,002_before_861:pass,+390-005-002-861-036-460-513+
M-21,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+350-001-740-362-692-032-002-861+
M-24,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass,+090-740-240-235-002-906-140+
M-28,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+892-374-740-760-840-416-002-861+
M-29,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;806_before_002:pass,+740-055-240-235-806-002-220-455-503+
M-31,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_820:pass,+740-269-511-233-060-820+
M-33,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass,+740-032-923-382-233-002-112+
M-34,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass,+740-336-176-002-405-372-374+
M-35,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass,+740-390-590-233-231-002-107+
M-36,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740_before_002:pass,+740-794-630-220-032-002-368-906-329+
M-38,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass,+740-690-435-255-220-032-240-235-002-390-125-632-032+
M-41,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-636-240-233-235-002-405-125-820+
M-42,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,002_before_817:pass,+527-550-240-002-817+
M-43,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass,+740-798-231-002-055-373+
M-44,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass,+740-760-033-705-803-002-920-317+
M-46,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass,+740-798-240-235-002-220-065-215+
M-47,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-760-235-002-861+
M-50,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-585-017-033-705-240-798-002-820+
M-52,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass,+740-904-032-220-415-235-803-002-504-717+
M-53,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass,+090-740-220-016-002-297-190-920-140+
M-54,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,002_before_820:pass,+236-240-033-705-798-002-820+
M-58,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-460-503-002-817+
M-66,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass,+740-390-590-235-002-374-309-350+
M-72,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:V,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-255-705-140-003-002-861+
M-75,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,002_before_817:pass,+520-220-004-002-817+
M-77,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,002_before_861:pass,+832-390-803-002-861+
M-79,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+688/740-100-240-233-002-861+
M-82,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,740_before_002:pass,+740-222-002-207-550-390+
M-86,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,002_before_820:pass,+520-033-705-231-002-820-700+
M-90,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-840-013-031-002-817+
M-91,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-100-798-220-032-002-861-255-416+
M-92,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740_before_002:pass,+740-798-460-350-002-814-084+
M-99,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740_before_002:pass,+740-215-002-368-119+
M-100,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+090-740-255-705-002-861+
M-101,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+390-503-740-168-002-817+
M-103,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,002_before_820:pass,+390-004-002-820+
M-106,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,N,740_before_002:pass,+740-760-000-002-000-350+
M-107,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740_before_002:pass,+740-565-233-002-940-260+
M-109,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740_before_002:pass,+740-879-220-415-002-287-140+
M-114,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740_before_002:pass,+740-760-440-002-297-416+
M-116,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-100-176-840-013-002-817+
M-117,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,002_before_820:pass,+520-033-705-220-803-055-002-820+
M-118,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-772-033-705-233-803-002-861+
M-130,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass,+740-094-220-032-002-144+
M-140,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:S,Good,Y,740_before_002:pass,+740-336-002-220-065-440-455+
M-141,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,N,002_before_817:fail,+817-255-636/000-000-000-240-002-031-000+
M-142,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,002_before_861:pass,+136-140-002-861+
M-143,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass,+740-205-032-002-252-840+
M-144,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-100-415-240-002-817+
M-145,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Fair,Y,400_before_740:fail,+740-400-142-880+
M-148,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740_before_817:pass,+740-817-556+
M-152,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-772-002-861+
M-157,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_820:pass,+740-900-790-233-798-001-820+
M-160,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,002_before_820:pass,+151-243-031-002-820-741+
M-164,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:X,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-142-061-002-817+
M-166,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,Y,002_before_861:pass;806_before_002:pass,+390-844-240-806-002-861+
M-170,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_861:pass,+740-923-406-061-070-032-741-861+
M-171,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,407_before_806:pass,+407-061-740-923-233-806-060-692+
M-174,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:T,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-923-220-032-002-820+
M-198,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-760-840-552-002-817+
M-199,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+090-740-100-415-240-002-861+
M-200,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-222-002-820+
M-823,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-061-002-817+
M-211,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740_before_002:pass,+090-740-100-220-002-031-165+
M-213,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740_before_002:pass,+740-384-002-390-346+
M-221,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:I,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-760-335-220-032-002-820+
M-231,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,400_before_740:pass,+400-740-100-415+
M-239,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740_before_002:pass,+740-760-921-235-002-112+
M-240,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,002_before_861:pass,+520-240-220-032-002-861-603+
M-242,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740_before_002:pass,+740-721-002-301-350+
M-245,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-760-070-921-460-503-002-817+
M-246,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-503-235-233-002-817+
M-248,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740_before_002:pass,+740-100-415-002-705-590+
M-258,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Fine,Y,002_before_861:pass,+384-575/892-706-717-002-861+
M-259,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,002_before_817:pass,+520-231-002-817+
M-260,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Zebu,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+090-740-220-014-002-820+
M-263,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,400_before_740:fail,+090-740-400-350-031-545+
M-267,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Fair,Y,740_before_002:pass,+740-630-155-002-679+
M-278,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,002_before_817:pass,+621-390-004-002-817+
M-280,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fair,Y,740_before_002:pass,+740-482-240-002-944-920-140+
M-285,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fine,Y,002_before_861:pass,+504-350-240-002-861+
M-288,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Good,Y,740_before_820:fail,+820/090-740-176-741-065-123+
M-289,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Fine,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-176-240-002-817+
M-295,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Comp,Poor,?,740_before_002:pass;740_before_861:pass;002_before_861:pass,+621/090-740/002-861+
M-300,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,CompBull,Good,Y,740_before_820:pass,+740-390-590-001/060-820+
M-309,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,T-A-T,Good,Y,740_before_002:pass,+224-740-061-002-824+
M-314,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Good,Y,740_before_002:pass;740_before_820:pass;740_before_817:fail;002_before_820:pass;002_before_817:fail,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+
M-316,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,Y,002_before_861:pass,+367-390-710-002-861+
M-322,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740_before_820:pass,+740-061-060-820+
M-327,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-519-002-861+
M-330,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Fair,Y,002_before_861:pass,+002-861-698+
M-354,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740_before_002:pass,+740-729-407-845-236-002-906-125+
M-355,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-877-032-033-705-231-235-002-861-360-520-919-140+
M-357,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740_before_820:pass,+740-100-806-472-240-806-001-820+
M-358,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,806_before_002:pass,+003-001-520-240-806-002-502-031+
M-359,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,740_before_002:pass,+740-405-590-220-235-803-002-388-385-705-632+
M-362,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-007-503-002-817+
M-364,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-354-002-817+
M-372,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740_before_820:pass,+740-338-605-176-001-820+
M-375,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-100-233-220-032-002-820+
M-376,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-100-176-002-861-533-717+
M-381,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-055-220-032-798-002-820+
M-384,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-900-003-803-002-820+
M-385,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,002_before_820:pass,+407-004-002-820+
M-389,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740_before_861:pass,+740-861-383-031+
M-391,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+405-845-686-740-793-003-233-805-002-861-533-717+
M-393,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740_before_002:pass;806_before_002:pass,+679-740-575-017-240-806-002-540+
M-408,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Good,Y,002_before_817:pass,+407-061-002-817+
M-437,Mohenjo-daro,Lower Indus,TAG:P,Clay,square,Zebu,Fair,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-390-590-002-820+
M-453,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Scene,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-032-840-220-002-861+
M-454,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,Scene,Poor,N,740_before_002:pass,+740-032-840-240-002-000+
M-471,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,NA,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-100-415-191-002-817+
M-471,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,NA,Fair,Y,400_before_740:pass,+400-740-904-798-460-350+
M-482,Mohenjo-daro,Lower Indus,TAB:B,Clay,rectangular,Mult,Fair,Y,400_before_740:pass,+400-740-803+
M-494,Mohenjo-daro,Lower Indus,TAB:B,Clay,prism,NA,Poor,Y,740_before_820:fail,+921-100-415-904-017-032-820-740-904-741+
M-495,Mohenjo-daro,Lower Indus,TAB:B,Clay,prism,NA,Fair,Y,740_before_820:pass,+740-100-415-904-017-032-820-740-904-741+
M-510,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Poor,Y,740_before_002:pass,+405-240-740-176-002-326+
M-573,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular-round,Othr,Fair,Y,740_before_861:pass,+740-222-233-235/617-142-001-368-861+
M-603,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,407_before_806:pass,+740-900-850-407-845-806+
M-623,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-760-175-176-220-415-798-002-299-530-820+
M-628,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass,+740-560-233-002-291-690-564+
M-629,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Fine,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+679-740-176-240-798-002-861+
M-634,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_820:pass,+679-740-220-415-001-820-812-820-140-820+
M-644,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-585-017-740-240-002-817-090-370+
M-646,Mohenjo-daro,Lower Indus,SEAL:S,Paste,square,Bull1,Poor,N,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-760-440-000-002-817+
M-650,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,002_before_817:pass,+520-220-415-519-002-817+
M-651,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-717-220-240-002-820+
M-653,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+679-740-235-002-861+
M-655,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,740_before_002:pass,+740-717-233-002-220-880-689+
M-658,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,002_before_817:pass,]000-003-070-002-002-817+
M-665,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_002:pass,+871-740-643/740-798-463-350-002-374-575+
M-677,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:L,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-923-070-032-033-706-231-242-002-861-901+
M-678,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;806_before_002:pass,+740-752-006-503-236-806-002-031-502+
M-683,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_002:pass,+740-798-231-002-298-460-032+
M-692,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,002_before_817:pass,+000-004-002-817-000[
M-699,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass,+740-100-415-002-130-035-171+
M-700,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:J,Good,Y,740_before_820:pass,+740-760-820-368-263+
M-703,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,N,002_before_817:pass,+000-000-233-235-002-817+
M-706,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-773-240-002-861-031+
M-708,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass,+740-061-002-390-140+
M-714,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-585-017-033-705-233-798-803-002-861-603+
M-717,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-142-061-002-861+
M-720,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,740_before_002:pass;740_before_817:pass;002_before_817:pass,+000-740-923-220-032-002-817+
M-722,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-585-240-220-032-002-817+
M-723,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-460-510-235-220-032-002-861+
M-724,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:J,Good,Y,002_before_861:pass,+390-721-790-002-861+
M-726,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:T,Fair,Y,002_before_820:pass,+031-850-140-236-220-032-803-002-820+
M-727,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-100-415-002-820+
M-728,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:V,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-575-017-002-820+
M-732,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:V,Good,Y,400_before_002:pass;002_before_817:pass,+520-400-350-002-817+
M-735,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Poor,Y,740_before_002:pass,+740-760-235-002-390-125-195+
M-739,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:J,Fair,Y,740_before_002:pass,+090-740-100-415-002-031-350-550-692+
M-750,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_820:pass,+740-773-060-820+
M-756,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740_before_002:pass,+740-100-176-002-812-031+
M-776,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-032-840-585-017-002-817+
M-780,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-773-156-002-820+
